"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int"
"188" "NP3" 13 "gug" 11 "c" 8 "visitor" "rt" 1083 "ungram" "hi"
"190" "NP3" 13 "gug" 9 "a" 8 "bystander" "rt" 980 "gram" "hi"
"192" "NP3" 13 "gug" 1 "a" 8 "peasant" "rt" 844 "gram" "hi"
"194" "NP3" 14 "gug" 11 "d" 8 "visitor" "rt" 1163 "ungram" "lo"
"196" "NP3" 14 "gug" 12 "a" 8 "teacher" "rt" 2683 "gram" "hi"
"198" "NP3" 14 "gug" 8 "a" 8 "doctor" "rt" 1593 "gram" "hi"
"200" "NP3" 14 "gug" 15 "d" 8 "peasant" "rt" 979 "ungram" "lo"
"202" "NP3" 14 "gug" 6 "c" 8 "conductor" "rt" 1067 "ungram" "hi"
"204" "NP3" 14 "gug" 2 "c" 8 "sister" "rt" 1348 "ungram" "hi"
"206" "NP3" 14 "gug" 5 "b" 8 "father" "rt" 1203 "gram" "lo"
"208" "NP3" 14 "gug" 14 "c" 8 "spy" "rt" 827 "ungram" "hi"
"210" "NP3" 14 "gug" 4 "a" 8 "professor" "rt" 1067 "gram" "hi"
"212" "NP3" 14 "gug" 13 "b" 8 "worker" "rt" 787 "gram" "lo"
"214" "NP3" 14 "gug" 16 "a" 8 "friend" "rt" 1323 "gram" "hi"
"216" "NP3" 14 "gug" 9 "b" 8 "bystander" "rt" 1235 "gram" "lo"
"218" "NP3" 14 "gug" 7 "d" 8 "stranger" "rt" 963 "ungram" "lo"
"220" "NP3" 14 "gug" 1 "b" 8 "peasant" "rt" 1092 "gram" "lo"
"222" "NP3" 14 "gug" 3 "d" 8 "foreman" "rt" 939 "ungram" "lo"
"224" "NP3" 14 "gug" 10 "c" 8 "guard" "rt" 867 "ungram" "hi"
"226" "NP3" 15 "gug" 1 "c" 8 "peasant" "rt" 2203 "ungram" "hi"
"228" "NP3" 15 "gug" 15 "a" 8 "peasant" "rt" 891 "gram" "hi"
"230" "NP3" 15 "gug" 3 "a" 8 "foreman" "rt" 723 "gram" "hi"
