"subj" "group" "sent" "pos" "condfill" "raw" "wl" "res"
"279" "s28" "sent20" "g3" "pos7" "L" 741 13 -331.5656
"280" "s28" "sent23" "g3" "pos7" "J" 462 9 -395.7136
"281" "s28" "sent30" "g3" "pos7" "L" 502 4 -87.14858
"282" "s28" "sent33" "g3" "pos7" "J" 502 9 -355.7136
"283" "s28" "sent56" "g3" "pos7" "J" 430 4 -159.1486
"284" "s28" "sent59" "g3" "pos7" "L" 435 5 -207.8616
"285" "s28" "sent76" "g3" "pos7" "L" 296 5 -346.8616
"286" "s29" "sent3" "g3" "pos7" "L" 1655 4 372.1948
"287" "s29" "sent9" "g3" "pos7" "J" 1471 4 188.1948
"288" "s29" "sent20" "g3" "pos7" "L" 2023 13 9.448803
"289" "s29" "sent23" "g3" "pos7" "J" 1564 9 -124.7752
"290" "s29" "sent30" "g3" "pos7" "L" 865 4 -417.8052
"291" "s29" "sent33" "g3" "pos7" "J" 1153 9 -535.7752
"292" "s29" "sent56" "g3" "pos7" "J" 685 4 -597.8052
"293" "s29" "sent59" "g3" "pos7" "L" 686 5 -677.9992
"294" "s29" "sent76" "g3" "pos7" "L" 637 5 -726.9992
"295" "s30" "sent3" "g3" "pos7" "L" 592 4 -179.192
"296" "s30" "sent9" "g3" "pos7" "J" 1868 4 1096.808
"297" "s30" "sent20" "g3" "pos7" "L" 746 13 -558.557
"298" "s30" "sent23" "g3" "pos7" "J" 426 9 -641.5059
"299" "s30" "sent30" "g3" "pos7" "L" 598 4 -173.192
"300" "s30" "sent33" "g3" "pos7" "J" 1063 9 -4.505908
"301" "s30" "sent56" "g3" "pos7" "J" 303 4 -468.192
"302" "s30" "sent59" "g3" "pos7" "L" 694 5 -136.4548
"303" "s30" "sent76" "g3" "pos7" "L" 547 5 -283.4548
"304" "s31" "sent3" "g3" "pos7" "L" 315 4 -408.8235
"305" "s31" "sent9" "g3" "pos7" "J" 812 4 88.17648
"306" "s31" "sent20" "g3" "pos7" "L" 1174 13 -47.96058
"307" "s31" "sent23" "g3" "pos7" "J" 3738 9 2737.434
"308" "s31" "sent30" "g3" "pos7" "L" 1014 4 290.1765
"309" "s31" "sent33" "g3" "pos7" "J" 828 9 -172.5663
"310" "s31" "sent56" "g3" "pos7" "J" 2689 4 1965.176
"311" "s31" "sent59" "g3" "pos7" "L" 604 5 -175.1721
"312" "s31" "sent76" "g3" "pos7" "L" 2312 5 1532.828
"313" "s32" "sent3" "g3" "pos7" "L" 1838 4 1026.401
"314" "s32" "sent9" "g3" "pos7" "J" 951 4 139.4009
"315" "s32" "sent20" "g3" "pos7" "L" 1629 13 355.8276
"316" "s32" "sent23" "g3" "pos7" "J" 601 9 -467.0287
"317" "s32" "sent30" "g3" "pos7" "L" 619 4 -192.5991
"318" "s32" "sent33" "g3" "pos7" "J" 1484 9 415.9713
"319" "s32" "sent56" "g3" "pos7" "J" 506 4 -305.5991
"320" "s32" "sent59" "g3" "pos7" "L" 441 5 -421.885
"321" "s32" "sent76" "g3" "pos7" "L" 403 5 -459.885
"322" "s33" "sent3" "g3" "pos7" "L" 848 4 189.7435
"323" "s33" "sent9" "g3" "pos7" "J" 878 4 219.7435
"324" "s33" "sent20" "g3" "pos7" "L" 1154 13 -15.42921
"325" "s33" "sent23" "g3" "pos7" "J" 418 9 -524.2413
"326" "s33" "sent30" "g3" "pos7" "L" 1020 4 361.7435
"327" "s33" "sent33" "g3" "pos7" "J" 535 9 -407.2413
"328" "s33" "sent56" "g3" "pos7" "J" 463 4 -195.2565
"329" "s33" "sent59" "g3" "pos7" "L" 454 5 -261.0534
"330" "s33" "sent76" "g3" "pos7" "L" 300 5 -415.0534
"331" "s34" "sent7" "g4" "pos7" "J" 2125 10 110.7072
"332" "s34" "sent13" "g4" "pos7" "L" 4812 5 3138.27
"333" "s34" "sent17" "g4" "pos7" "J" 1821 9 -125.1803
"334" "s34" "sent27" "g4" "pos7" "L" 4471 4 2865.383
"335" "s34" "sent38" "g4" "pos7" "J" 842 10 -1172.293
"336" "s34" "sent41" "g4" "pos7" "L" 603 6 -1138.843
"337" "s34" "sent49" "g4" "pos7" "J" 1113 12 -1037.518
"338" "s34" "sent53" "g4" "pos7" "L" 784 9 -1162.18
"339" "s34" "sent62" "g4" "pos7" "L" 527 9 -1419.18
"340" "s34" "sent66" "g4" "pos7" "J" 639 5 -1034.73
"341" "s34" "sent69" "g4" "pos7" "L" 470 5 -1203.73
"342" "s34" "sent71" "g4" "pos7" "J" 1823 9 -123.1803
"343" "s35" "sent7" "g4" "pos7" "J" 1493 10 227.585
"344" "s35" "sent13" "g4" "pos7" "L" 425 5 -497.1339
"345" "s35" "sent17" "g4" "pos7" "J" 694 9 -502.7587
"346" "s35" "sent27" "g4" "pos7" "L" 3819 4 2965.522
"347" "s35" "sent38" "g4" "pos7" "J" 1401 10 135.585
"348" "s35" "sent41" "g4" "pos7" "L" 437 6 -553.7901
"349" "s35" "sent49" "g4" "pos7" "J" 801 12 -601.7274
"350" "s35" "sent53" "g4" "pos7" "L" 745 9 -451.7587
"351" "s35" "sent62" "g4" "pos7" "L" 764 9 -432.7587
"352" "s35" "sent66" "g4" "pos7" "J" 536 5 -386.1339
"353" "s35" "sent69" "g4" "pos7" "L" 1395 5 472.8661
"354" "s35" "sent71" "g4" "pos7" "J" 395 9 -801.7587
"355" "s36" "sent7" "g4" "pos7" "J" 785 10 -134.5989
"356" "s36" "sent13" "g4" "pos7" "L" 735 5 -28.49497
"357" "s36" "sent17" "g4" "pos7" "J" 784 9 -104.3781
"358" "s36" "sent27" "g4" "pos7" "L" 2221 4 1488.726
"359" "s36" "sent38" "g4" "pos7" "J" 2851 10 1931.401
"360" "s36" "sent41" "g4" "pos7" "L" 1058 6 263.2843
"361" "s36" "sent49" "g4" "pos7" "J" 565 12 -417.0404
"362" "s36" "sent53" "g4" "pos7" "L" 766 9 -122.3781
"363" "s36" "sent62" "g4" "pos7" "L" 453 9 -435.3781
"364" "s36" "sent66" "g4" "pos7" "J" 404 5 -359.495
"365" "s36" "sent69" "g4" "pos7" "L" 332 5 -431.495
"366" "s36" "sent71" "g4" "pos7" "J" 441 9 -447.3781
"367" "s37" "sent7" "g4" "pos7" "J" 1448 10 207.6321
"368" "s37" "sent13" "g4" "pos7" "L" 1541 5 574.495
"369" "s37" "sent17" "g4" "pos7" "J" 922 9 -263.5953
"370" "s37" "sent27" "g4" "pos7" "L" 666 4 -245.7324
"371" "s37" "sent38" "g4" "pos7" "J" 1867 10 626.6321
"372" "s37" "sent41" "g4" "pos7" "L" 1219 6 197.7224
"373" "s37" "sent49" "g4" "pos7" "J" 698 12 -651.9131
"374" "s37" "sent53" "g4" "pos7" "L" 800 9 -385.5953
"375" "s37" "sent62" "g4" "pos7" "L" 669 9 -516.5953
"376" "s37" "sent66" "g4" "pos7" "J" 718 5 -248.505
