"subj" "group" "sent" "pos" "condfill" "raw" "wl" "NminusOne" "res"
"107" "s18" "gp2" "sent62" "pos7" "J" 1456 4 1984 -182.9013389
"108" "s18" "gp2" "sent69" "pos7" "J" 554 5 615 -52.5041593
"109" "s19" "gp2" "sent13" "pos7" "J" 446 5 1472 -195.9947546
"110" "s19" "gp2" "sent27" "pos7" "J" 407 8 1700 614.4221936
"111" "s19" "gp2" "sent41" "pos7" "J" 430 8 1321 -92.8363666
"112" "s19" "gp2" "sent53" "pos7" "J" 322 5 1422 -165.4848703
"113" "s19" "gp2" "sent62" "pos7" "J" 328 4 1090 34.0863683
"114" "s19" "gp2" "sent69" "pos7" "J" 356 5 1151 -60.4273737
"115" "s20" "gp2" "sent13" "pos7" "J" 455 5 1419 370.4619704
"116" "s20" "gp2" "sent27" "pos7" "J" 1732 8 1499 -120.6645961
"117" "s20" "gp2" "sent41" "pos7" "J" 397 8 1410 -137.3049048
"118" "s20" "gp2" "sent53" "pos7" "J" 372 5 1582 145.2052193
"119" "s20" "gp2" "sent62" "pos7" "J" 334 4 1655 -88.7416215
"120" "s20" "gp2" "sent69" "pos7" "J" 367 5 1450 -154.3346774
"121" "s21" "gp2" "sent13" "pos7" "J" 5010 5 2990 266.3215881
"122" "s21" "gp2" "sent27" "pos7" "J" 4983 8 2587 182.6583761
"123" "s21" "gp2" "sent41" "pos7" "J" 1885 8 2537 -104.6000373
"124" "s21" "gp2" "sent53" "pos7" "J" 1046 5 3565 -207.9107219
"125" "s21" "gp2" "sent62" "pos7" "J" 520 4 2512 -175.9764288
"126" "s21" "gp2" "sent69" "pos7" "J" 590 5 4264 -53.063057
"127" "s22" "gp2" "sent13" "pos7" "J" 422 5 1574 144.1752029
"128" "s22" "gp2" "sent27" "pos7" "J" 949 8 1304 -132.8920398
"129" "s22" "gp2" "sent41" "pos7" "J" 306 8 3340 -38.9831466
"130" "s22" "gp2" "sent53" "pos7" "J" 452 5 1083 -173.9308754
"131" "s22" "gp2" "sent62" "pos7" "J" 374 4 1630 -112.4058594
"132" "s22" "gp2" "sent69" "pos7" "J" 632 5 1162 -184.493959
"133" "s23" "gp2" "sent13" "pos7" "J" 794 5 5002 -38.8636971
"134" "s23" "gp2" "sent27" "pos7" "J" 1621 8 4200 726.680001
"135" "s23" "gp2" "sent41" "pos7" "J" 1329 8 4072 -217.2677278
"136" "s23" "gp2" "sent53" "pos7" "J" 1654 5 2123 -203.6060516
"137" "s23" "gp2" "sent62" "pos7" "J" 444 4 3314 -239.0489179
"138" "s23" "gp2" "sent69" "pos7" "J" 599 5 5797 140.0220354
"139" "s24" "gp2" "sent13" "pos7" "J" 762 5 2099 -41.5619696
"140" "s24" "gp2" "sent27" "pos7" "J" 601 8 1925 -134.6538443
"141" "s24" "gp2" "sent41" "pos7" "J" 778 8 2364 41.7621507
"142" "s24" "gp2" "sent53" "pos7" "J" 622 5 1631 558.8465396
"143" "s24" "gp2" "sent62" "pos7" "J" 489 4 2170 -71.6769405
"144" "s24" "gp2" "sent69" "pos7" "J" 553 5 1776 70.4693802
"145" "s25" "gp2" "sent13" "pos7" "J" 842 5 3327 118.6745189
"146" "s25" "gp2" "sent27" "pos7" "J" 626 8 1781 55.2272022
"147" "s25" "gp2" "sent41" "pos7" "J" 627 8 1914 -106.7127655
"148" "s25" "gp2" "sent53" "pos7" "J" 531 5 1868 -90.7727978
"149" "s25" "gp2" "sent62" "pos7" "J" 455 4 1452 -93.4853736
"150" "s25" "gp2" "sent69" "pos7" "J" 397 5 1318 -118.0207389
