verb subject item condition rt sentencetype
V1 30  2 b  578.0 ungram
V1 30 11 b  513.0 ungram
V1 31  4 a 1050.0 gram
V1 31 15 a  970.0 gram
V1 31  9 b  938.0 ungram
V1 31  1 b 2818.0 ungram
V1 31  7 a 1186.0 gram
V1 31  2 b  834.0 ungram
V1 31 13 b  978.0 ungram
V1 31  3 a 1185.0 gram
V1 31 12 a  682.0 gram
V1 31  8 a 1650.0 gram
V1 31 11 a  889.0 gram
V1 31 10 b  826.0 ungram
V1 31 14 b  714.0 ungram
V1 31  5 b 1266.0 ungram
V1 31  6 b  809.0 ungram
V1 31 16 a  730.0 gram
V1 32  5 b 1538.0 ungram
V1 32  4 b 1482.0 ungram
V1 32  3 a 1922.0 gram
V1 32 10 a 2362.0 gram
V1 32  6 a 1569.0 gram
V1 32  2 a  898.0 gram
V1 32  1 b  994.0 ungram
V1 32 12 b  842.0 ungram
V1 32 13 b  866.0 ungram
V1 32 16 b  794.0 ungram
V1 32  8 b 1034.0 ungram
V1 32  9 b 1265.0 ungram
V1 32 15 a 1138.0 gram
V1 32 14 a 1242.0 gram
V1 32 11 a 1258.0 gram
V1 32  7 a  842.0 gram
V1 33  5 a  754.0 gram
V1 33  2 a  794.0 gram
V1 33  9 a  842.0 gram
V1 33  3 b 1217.0 ungram
V1 33 16 b 1114.0 ungram
V1 33  7 b  746.0 ungram
V1 33  4 b  722.0 ungram
V1 33 12 b  690.0 ungram
V1 33  1 a 3538.0 gram
V1 33 10 a 4137.0 gram
V1 33  6 a 2840.0 gram
V1 33 14 a  754.0 gram
V1 33 11 b  849.0 ungram
V1 33 15 b  778.0 ungram
V1 33 13 a  754.0 gram
V1 33  8 b  674.0 ungram
V1 34 14 b  905.0 ungram
V1 34  1 a 1257.0 gram
V1 34 13 a  890.0 gram
V1 34  9 a 2010.0 gram
V1 34  3 b 2425.0 ungram
V1 34  4 a  737.0 gram
V1 34 15 b  802.0 ungram
V1 34 11 b 4480.0 ungram
V1 34  8 a 1314.0 gram
V1 34 12 a  706.0 gram
V1 34 10 b 1185.0 ungram
V1 34 16 a  994.0 gram
V1 34  5 a 1194.0 gram
V1 34  2 b  698.0 ungram
V1 34  6 b 1002.0 ungram
V1 34  7 b  730.0 ungram
V1 35  8 a  753.0 gram
V1 35  7 a  738.0 gram
V1 35 15 a  873.0 gram
V1 35 11 a 1849.0 gram
V1 35 13 b 1314.0 ungram
V1 35  2 b  994.0 ungram
V1 35 16 a  610.0 gram
V1 35 10 b  746.0 ungram
V1 35  1 b  441.0 ungram
V1 35  4 a  649.0 gram
V1 35 14 b  642.0 ungram
V1 35  9 b  618.0 ungram
V1 35  6 b  658.0 ungram
V1 35  3 a 1130.0 gram
V1 35  5 b  666.0 ungram
V1 35 12 a  666.0 gram
V1 36 13 b  906.0 ungram
V1 36 12 b 1146.0 ungram
V1 36  1 b  906.0 ungram
V1 36 11 a 1138.0 gram
V1 36  8 b 1138.0 ungram
V1 36 15 a 1050.0 gram
V1 36 14 a  890.0 gram
V1 36  3 a  794.0 gram
V1 36  6 a 1153.0 gram
V1 36  7 a  858.0 gram
V1 36 10 a 1305.0 gram
V1 36  4 b  954.0 ungram
V1 36  9 b  938.0 ungram
V1 36  5 b  738.0 ungram
V1 36  2 a  882.0 gram
V1 36 16 b  858.0 ungram
V1 37 12 b 2498.0 ungram
V1 37 15 b 1009.0 ungram
V1 37 10 a 1049.0 gram
V1 37 14 a 1058.0 gram
V1 37  4 b  938.0 ungram
V1 37  6 a 2761.0 gram
V1 37  9 a 1058.0 gram
V1 37  3 b 1737.0 ungram
V1 37  8 b 1057.0 ungram
V1 37  2 a  842.0 gram
V1 37  1 a  906.0 gram
V1 37 11 b 1161.0 ungram
V1 37 16 b 1257.0 ungram
V1 37 13 a  922.0 gram
V1 37  7 b  954.0 ungram
V1 37  5 a 8976.0 gram
V1 38 15 b  745.0 ungram
V1 38 11 b  898.0 ungram
V1 38  8 a  690.0 gram
V1 38  2 b  738.0 ungram
V1 38  6 b  722.0 ungram
V1 38 14 b  834.0 ungram
V1 38 16 a  778.0 gram
V1 38  5 a  714.0 gram
V1 38  3 b  802.0 ungram
V1 38 10 b  785.0 ungram
V1 38 12 a  674.0 gram
V1 38  7 b 1474.0 ungram
V1 38 13 a  745.0 gram
V1 38  9 a  778.0 gram
V1 38  4 a  753.0 gram
V1 38  1 a  698.0 gram
V1 39  4 a  930.0 gram
V1 39 15 a 1090.0 gram
V1 39  8 a 1049.0 gram
V1 39 13 b  969.0 ungram
V1 39  1 b 1082.0 ungram
V1 39  6 b  850.0 ungram
V1 39  5 b  986.0 ungram
V1 39  2 b  762.0 ungram
V1 39  3 a  794.0 gram
V1 39 14 b  826.0 ungram
V1 39 10 b  849.0 ungram
V1 39 12 a  786.0 gram
V1 39 11 a  777.0 gram
V1 39 16 a  618.0 gram
V1 39  7 a 1090.0 gram
V1 39  9 b 1186.0 ungram
V1  4  4 b  954.0 ungram
V1  4  3 a  929.0 gram
V1  4 12 b  626.0 ungram
V1  4  8 b  897.0 ungram
V1  4 14 a  705.0 gram
V1  4  6 a 1017.0 gram
V1  4 16 b  666.0 ungram
V1  4  9 b 1234.0 ungram
V1  4  5 b  706.0 ungram
V1  4  7 a  618.0 gram
V1  4  2 a  786.0 gram
V1  4 13 b  665.0 ungram
V1  4 11 a  753.0 gram
V1  4 10 a  969.0 gram
V1  4 15 a  762.0 gram
V1  4  1 b 1498.0 ungram
V1 40  8 b  928.0 ungram
V1 40 15 a 5576.0 gram
V1 40 14 a 1946.0 gram
V1 40  6 a 1266.0 gram
V1 40  1 b 1178.0 ungram
V1 40 13 b 1226.0 ungram
V1 40 11 a 2353.0 gram
V1 40 16 b  866.0 ungram
V1 40  5 b 1226.0 ungram
V1 40  7 a 1202.0 gram
V1 40 10 a 1994.0 gram
V1 40  4 b 1002.0 ungram
V1 40  9 b  705.0 ungram
V1 40  2 a  890.0 gram
V1 40 12 b 8825.0 ungram
V1 40  3 a 1522.0 gram
V1 41  8 b 1128.0 ungram
V1 41  1 a 1210.0 gram
V1 41  9 a 1345.0 gram
V1 41 14 a 1098.0 gram
V1 41 10 a 1433.0 gram
V1 41 15 b 4609.0 ungram
V1 41 13 a 1410.0 gram
V1 41  7 b  858.0 ungram
V1 41 16 b  970.0 ungram
V1 41  3 b 1144.0 ungram
V1 41  6 a 1577.0 gram
V1 41  2 a  786.0 gram
V1 41 11 b 1153.0 ungram
V1 41  5 a 1050.0 gram
V1 41 12 b  898.0 ungram
V1 41  4 b  922.0 ungram
V1 42  8 a 1400.0 gram
V1 42 12 a 1161.0 gram
V1 42  1 a 1466.0 gram
V1 42  9 a 1306.0 gram
V1 42  2 b 1338.0 ungram
V1 42 15 b  914.0 ungram
V1 42  4 a  810.0 gram
V1 42 16 a 1402.0 gram
V1 42 11 b 1136.0 ungram
V1 42  5 a 1178.0 gram
V1 42 14 b  866.0 ungram
V1 42 10 b  802.0 ungram
V1 42 13 a  705.0 gram
