"subj" "id" "cond" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT"
"136" 1 22 "b" 3 235 1 0 2238 2238 3399 2238 2930 1161 0 1161 0 1 496
"137" 1 22 "b" 4 246 1 0 246 246 692 246 3176 446 0 446 0 1 268
"138" 1 22 "b" 5 0 0 0 0 0 0 0 3176 0 0 0 0 0 0
"139" 1 22 "b" 6 246 1 0 2248 3857 3857 5917 9093 1609 1609 0 1 1 1609
"140" 1 22 "b" 7 0 0 0 0 0 0 0 9093 0 0 0 0 0 0
"141" 1 23 "a" 1 502 1 502 502 502 502 502 502 0 0 0 0 0 502
"142" 1 23 "a" 2 328 1 0 605 605 605 605 1107 0 0 0 0 0 605
"143" 1 23 "a" 3 297 1 297 297 297 297 297 1404 0 0 0 0 0 297
"144" 1 23 "a" 4 302 1 302 302 302 302 302 1706 0 0 0 0 0 302
"145" 1 23 "a" 5 0 0 0 0 0 0 0 1706 0 0 0 0 0 0
"146" 1 23 "a" 6 239 1 0 3992 3992 3992 3992 5698 0 0 0 0 0 3992
"147" 1 23 "a" 7 0 0 0 0 0 0 0 5698 0 0 0 0 0 0
"148" 1 24 "d" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"149" 1 24 "d" 2 194 1 0 708 708 1519 708 708 811 0 811 0 0 811
"150" 1 24 "d" 3 218 1 0 1511 1511 2100 1511 2219 589 0 589 0 0 589
"151" 1 24 "d" 4 292 1 0 292 292 490 292 2511 198 0 198 0 0 198
"152" 1 24 "d" 5 0 0 0 0 0 0 0 2511 0 0 0 0 0 0
"153" 1 24 "d" 6 268 1 0 1591 2912 2912 4510 7021 1321 1321 0 1 1 1321
"154" 1 24 "d" 7 0 0 0 0 0 0 0 7021 0 0 0 0 0 0
"155" 1 25 "c" 1 186 1 0 376 376 376 376 376 0 0 0 0 0 376
"156" 1 25 "c" 2 151 1 151 151 151 151 151 527 0 0 0 0 0 151
"157" 1 25 "c" 3 0 0 0 0 0 0 0 527 0 0 0 0 0 0
"158" 1 25 "c" 4 317 1 317 317 317 317 317 844 0 0 0 0 0 317
"159" 1 25 "c" 5 0 0 0 0 0 0 0 844 0 0 0 0 0 0
"160" 1 25 "c" 6 279 1 0 1305 1305 1305 1305 2149 0 0 0 0 0 1305
"161" 1 25 "c" 7 0 0 0 0 0 0 0 2149 0 0 0 0 0 0
"162" 1 27 "b" 1 186 1 186 186 186 186 186 186 0 0 0 0 0 186
"163" 1 27 "b" 2 214 1 214 214 214 214 214 400 0 0 0 0 0 214
"164" 1 27 "b" 3 393 1 0 1007 1007 1007 1007 1407 0 0 0 0 0 1007
