-Pre-test	LatSq-list	subj-ID	item-ID	cond	nominal	verb	target	synonym	gram	condition
2	4	M-S	8	a	entezar	dashtan	1	1	1	-1
2	4	M-T	8	a	entezar	dashtan	1	1	1	-1
2	4	M-V	8	a	entezar	dashtan	1	1	1	-1
2	4	O-M	8	a	entezar	dashtan	1	1	1	-1
2	4	S-M	8	a	entezar	dashtan	1	1	1	-1
2	3	A-J	8	b	entezar	dashtan	1	1	1	1
2	3	D-J	8	b	entezar	dashtan	1	1	1	1
2	3	M-A-S	8	b	entezar	dashtan	1	1	1	1
2	3	M-M-S	8	b	entezar	dashtan	1	1	1	1
2	3	M-M-2	8	b	entezar	dashtan	1	1	1	1
2	3	M-P	8	b	entezar	dashtan	1	1	1	1
2	3	P-A	8	b	entezar	dashtan	1	1	1	1
2	3	Z-M	8	b	entezar	dashtan	1	1	1	1
2	1	A-A	9	a	sahm	dashtan	0	1	1	-1
2	1	D-M	9	a	sahm	dashtan	0	1	1	-1
2	1	F-A	9	a	sahm	dashtan	0	1	1	-1
2	1	M-A	9	a	sahm	dashtan	0	1	1	-1
2	1	M-KH	9	a	sahm	dashtan	0	1	1	-1
2	4	H-S	9	b	sahm	dashtan	0	1	1	1
2	4	M-H	9	b	sahm	dashtan	0	1	1	1
2	4	M-S	9	b	sahm	dashtan	0	1	1	1
2	4	M-V	9	b	sahm	dashtan	0	1	1	1
2	1	R	9	a	sahm	kharidan	0	0	1	-1
2	4	D-S	9	b	sahm	kharidan	0	0	1	1
2	4	M-T	9	b	sahm	kharidan	0	0	1	1
2	4	O-M	9	b	sahm	kharidan	0	0	1	1
2	4	S-M	9	b	sahm	kharidan	0	0	1	1
2	1	E-K	9	a	sahm	khastan	0	0	1	-1
2	1	Z-A	9	a	sahm	khastan	0	0	1	-1
2	2	A-H	10	a	khahesh	dashtan	0	0	1	-1
2	2	F-E	10	a	khahesh	dashtan	0	0	1	-1
2	2	M-B	10	a	khahesh	dashtan	0	0	1	-1
2	2	M-M	10	a	khahesh	dashtan	0	0	1	-1
