"subject" "trial" "experiment" "item" "condition" "accuracy" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "FPRC" "TRC" "LPRT"
1 59 "gug" 1 "a" 1 9 332 1 0 332 528 2104 1408 2788 1772 196 1576 1 5 292
1 59 "gug" 1 "a" 1 10 248 1 0 400 568 1528 2560 5348 1128 168 960 1 5 300
1 59 "gug" 1 "a" 1 11 424 1 0 424 1612 1760 7504 12852 1336 1188 148 2 2 148
1 59 "gug" 1 "a" 1 12 0 0 152 152 152 152 300 13152 0 0 0 1 1 152
1 59 "gug" 1 "a" 1 13 396 1 396 396 396 396 696 13848 0 0 0 1 1 396
1 59 "gug" 1 "a" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 59 "gug" 1 "a" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 63 "gug" 4 "d" 0 1 152 1 0 152 152 4488 152 152 4336 0 4336 0 0 632
1 63 "gug" 4 "d" 0 2 448 1 0 448 448 1668 448 600 1220 0 1220 0 3 216
1 63 "gug" 4 "d" 0 3 224 1 0 476 476 6324 476 1076 5848 0 5848 0 8 372
1 63 "gug" 4 "d" 0 4 176 1 0 228 228 3744 228 1304 3516 0 3516 0 7 408
1 63 "gug" 4 "d" 0 5 332 1 0 332 332 4620 332 1636 4288 0 4288 0 6 272
1 63 "gug" 4 "d" 0 9 212 1 0 212 212 1800 212 1848 1588 0 1588 0 5 164
1 63 "gug" 4 "d" 0 10 144 1 0 216 216 2008 216 2064 1792 0 1792 0 1 612
1 63 "gug" 4 "d" 0 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 63 "gug" 4 "d" 0 12 356 1 0 620 1132 1132 23720 25784 512 512 0 2 2 296
1 63 "gug" 4 "d" 0 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 63 "gug" 4 "d" 0 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 63 "gug" 4 "d" 0 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 66 "gug" 6 "b" 1 1 152 1 0 328 328 1136 328 328 808 0 808 0 0 808
1 66 "gug" 6 "b" 1 2 304 1 304 304 304 304 304 632 0 0 0 0 0 304
1 66 "gug" 6 "b" 1 3 408 1 0 408 408 1948 408 1040 1540 0 1540 0 0 244
1 66 "gug" 6 "b" 1 4 460 1 0 460 460 956 460 1500 496 0 496 0 1 496
1 66 "gug" 6 "b" 1 5 404 1 0 404 404 1488 404 1904 1084 0 1084 0 2 340
1 66 "gug" 6 "b" 1 9 160 1 0 444 444 1068 444 2348 624 0 624 0 1 624
1 66 "gug" 6 "b" 1 10 404 1 0 404 404 1192 404 2752 788 0 788 0 0 788
1 66 "gug" 6 "b" 1 11 268 1 0 1100 1572 1572 5520 8272 472 472 0 1 1 472
1 66 "gug" 6 "b" 1 12 208 1 0 680 680 680 680 8952 0 0 0 0 0 680
1 66 "gug" 6 "b" 1 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 66 "gug" 6 "b" 1 14 616 1 0 616 924 924 2316 11268 308 308 0 2 2 308
1 66 "gug" 6 "b" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 72 "gug" 14 "b" 1 1 124 1 0 124 124 1436 124 124 1312 0 1312 0 0 276
1 72 "gug" 14 "b" 1 2 188 1 0 188 188 312 188 312 124 0 124 0 1 124
1 72 "gug" 14 "b" 1 3 204 1 0 512 512 1532 512 824 1020 0 1020 0 0 252
1 72 "gug" 14 "b" 1 4 224 1 0 440 440 1200 440 1264 760 0 760 0 1 240
1 72 "gug" 14 "b" 1 5 308 1 0 308 308 1100 308 1572 792 0 792 0 2 392
1 72 "gug" 14 "b" 1 9 444 1 0 444 444 1616 444 2016 1172 0 1172 0 2 468
1 72 "gug" 14 "b" 1 10 0 0 0 268 268 992 268 2284 724 0 724 0 0 300
1 72 "gug" 14 "b" 1 11 152 1 0 152 2096 2248 7868 10152 2096 1944 152 5 6 152
1 72 "gug" 14 "b" 1 12 216 1 0 768 1096 1096 1648 11800 328 328 0 1 1 328
1 72 "gug" 14 "b" 1 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 72 "gug" 14 "b" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 72 "gug" 14 "b" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 5 "gug" 16 "a" 1 1 160 1 0 160 160 392 160 160 232 0 232 0 0 232
2 5 "gug" 16 "a" 1 2 180 1 0 180 180 652 180 340 472 0 472 0 1 220
2 5 "gug" 16 "a" 1 3 152 1 0 316 496 1368 708 1048 1052 180 872 1 1 872
2 5 "gug" 16 "a" 1 4 364 1 0 364 364 1060 364 1412 696 0 696 0 1 212
2 5 "gug" 16 "a" 1 5 68 1 0 68 456 780 2304 3716 712 388 324 1 2 148
2 5 "gug" 16 "a" 1 9 180 1 0 600 600 1068 600 4316 468 0 468 0 1 36
2 5 "gug" 16 "a" 1 10 180 1 0 508 624 844 884 5200 336 116 220 1 2 220
2 5 "gug" 16 "a" 1 11 216 1 0 216 216 868 216 5416 652 0 652 0 1 296
2 5 "gug" 16 "a" 1 12 0 0 0 324 456 456 1716 7132 132 132 0 1 1 132
2 5 "gug" 16 "a" 1 13 140 1 0 140 320 320 2392 9524 180 180 0 1 1 180
2 5 "gug" 16 "a" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 5 "gug" 16 "a" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 9 "gug" 6 "c" 1 1 100 1 0 236 236 708 236 236 472 0 472 0 0 236
2 9 "gug" 6 "c" 1 2 236 1 0 236 236 628 236 472 392 0 392 0 1 220
2 9 "gug" 6 "c" 1 3 72 1 0 348 348 700 348 820 352 0 352 0 1 168
2 9 "gug" 6 "c" 1 4 188 1 0 688 688 1260 688 1508 572 0 572 0 1 228
2 9 "gug" 6 "c" 1 5 176 1 0 176 176 764 176 1684 588 0 588 0 1 220
