utt	subject	gender	StartTime	EndTime	Item	WorldBet	TargetConsonant	TargetVowel	Burst	VOT	VowelEnd	Notes	msVOT	msVowel	logVOT	logVowel
s9gt10fw_marw322	s9gt10fw	f	95.8878184199364	96.9009966620889	guto5	gu3.tou	g	u	96.0753044269299	96.1073990929705	96.2937377173091	NA	32.0946660406634	218.433290379281	3.46868984937118	5.38648066073127
s9gt11mw_marw111	s9gt11mw	m	19.169594849421	20.2814868092666	tnka3	tang2.kuai4	t	a	19.4315132530415	19.4857833436405	19.5828202947846	NA	54.2700905989655	151.30704174306	3.99397325748548	5.01931116130454
s9gt11mw_marw111	s9gt11mw	m	31.529450011731	32.5542999483465	duzi4	du4.zi	d	u	31.8559806340614	31.8684703736567	32.070093537415	NA	12.4897395953099	214.112903353559	2.52490747486569	5.36650346166171
s9gt11mw_marw111	s9gt11mw	m	51.5140237757326	52.5388737123481	dnzi3	ding1.zi	d	i	51.8157395151978	51.8318163265306	51.9299659863946	NA	16.0768113328587	114.226471196801	2.77737794389138	4.7381830671808
s9gt11mw_marw111	s9gt11mw	m	54.0419869527174	55.2034835475483	tuzi5	tu4.zi	t	u	54.4109891744777	54.4729168556311	54.6483038548753	mb? @ 54.4106	61.9276811534135	237.314680397553	4.12596727122318	5.46938702582467
s9gt11mw_marw111	s9gt11mw	m	56.5822351512833	57.777893410668	kuzi5	ku4.zi	k	u	56.8874051262549	56.9887641723356	57.1238843537415	mb? @ 56.8970	101.359046080709	236.479227486605	4.61866912476802	5.46586037103683
s9gt11mw_marw111	s9gt11mw	m	58.9735516700527	59.9300782775605	guto3	gu3.tou	g	u	59.2099081751283	59.2449115646259	59.4035487528345	NA	35.0033894975468	193.640577706162	3.5554448995875	5.26600374847007
s9gt11mw_marw111	s9gt11mw	m	89.190974616032	90.1816628880936	knbn4	kan4.bing4	k	a	89.4661769544762	89.5196614836411	89.5879365079365	mb @ 89.4723	53.4845291649049	121.759553460336	3.9793924375952	4.80204822673096
s9gt11mw_marw111	s9gt11mw	m	93.7344760016939	94.827649267417	gnbi5	gang1.bi3	g	a	94.0533115538475	94.0721541950113	94.1889002267574	NA	18.8426411638005	135.588672909847	2.93612244848402	4.90962583890399
s9gt11mw_marw111	s9gt11mw	m	96.1599541850172	97.0823191279711	tnzi4	ting2.zi	t	i	96.4567803644412	96.5296636432351	96.5902179390275	NA	72.8832787938956	133.437574586281	4.28885924087902	4.89363376238321
