utt	subject	gender	StartTime	EndTime	Item	WorldBet	TargetConsonant	TargetVowel	Burst	VOT	VowelEnd	Notes	msVOT	msVowel	logVOT	logVowel	vOff	vOn
e9gt05fw_enrw122	e9gt05fw	f	100.191176799501	100.819909077419	coca4	kho.ko	kh	o	100.22446491732	100.289189871504	100.38721060782	NA	64.7249541843706	162.745690500572	4.17014681778676	5.09218880147894	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	103.073981180167	103.722779381848	qwlt5	kwhIlt	kwh	I	103.11201053294	103.201773566569	103.351865353929	NA	89.7630336290973	239.854820988455	4.49717323831889	5.48003382776048	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	105.563318120162	106.125163985535	qwik3	kwhIk	kwh	I	105.59159788109	105.656138783197	105.845479834791	NA	64.5409021067849	253.881953700954	4.16729916400963	5.53686940978031	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	108.105001796851	108.813997769822	cute5	kjhut	kjh	u	108.133838057655	108.286552860138	108.472127739985	NA	152.714802482294	338.289682329403	5.0285721458518	5.82390257673867	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	110.833385147651	111.482183349332	cugr5	khu.g&r	kh	u	110.866895370036	110.959230197826	111.109031589647	NA	92.3348277900686	242.136219611169	4.52542140284025	5.48950045874824	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	113.288116488032	113.963669254731	kikn4	khI.kIxN	kh	I	113.325357630558	113.400830183925	113.457437641723	NA	75.4725533675895	132.080011165527	4.32376905860626	4.88340788414796	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	115.996433915069	116.578345704205	deer3	di9	d	i	116.031916585075	116.056612227136	116.230619651086	NA	24.6956420608626	198.703066010808	3.20662679328459	5.29181157979005	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	118.551494874267	119.120029380894	golf4	gAlf	g	A	118.597601961403	118.612061491263	118.796433122269	NA	14.4595298606021	198.83116086595	2.671353703104	5.29245602673783	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	121.306632790084	121.875167296712	dude3	dud	d	u	121.334220168847	121.353435145102	121.670572466275	NA	19.2149762549292	336.352297427752	2.95568998825904	5.81815911491581	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	126.402795144958	127.051593346639	qwek4	kwhek	kwh	e	126.430920321292	126.49824857812	126.745318216175	NA	67.3282568282332	314.397894883811	4.20958001225075	5.75065936487046	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	129.452815556985	130.141745606193	tost4	thost	th	o	129.48951023849	129.621684188827	129.833509529938	NA	132.173950336636	343.999291447687	4.88411886062326	5.84063959762618	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	132.268587412681	132.924074255617	cake3	khek	kh	e	132.30690104753	132.37239133882	132.613753045078	NA	65.4902912902173	306.851997547966	4.18190190707802	5.72636553866553	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	134.903912066932	135.499201138578	cuki3	khU.ki	kh	U	134.946873458648	135.010296858581	135.080652494331	NA	63.4233999325318	133.779035682778	4.14983287745773	4.89618945143269	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	137.565409005188	138.147320794325	gift3	gIft	g	I	137.597728484427	137.61545932194	137.769694733239	NA	17.730837512886	171.96624881197	2.87530535601989	5.14729822972087	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	142.822098655161	143.490962780605	cube3	kjhub	kjh	u	142.856766774277	143.00700666612	143.271629560915	NA	150.239891843057	414.862786638082	5.01223329556524	6.02794783095199	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	145.276829995542	145.751723524608	kchp5	khE.tS&p	kh	E	145.316444030847	145.383078890471	145.45567591139	NA	66.6348596238606	139.231880543122	4.19922785838673	4.93614074856791	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	147.517524815781	148.219832147498	twst5	twhI.stIxd	twh	I	147.562939705301	147.657108843537	147.746433392255	NA	94.169138236083	183.493686953227	4.54509250832881	5.21218026337816	NA	NA
e9gt05fw_enrw122	e9gt05fw	f	154.919377616659	155.454468917014	clor4	kh^.l&r	kh	^	154.952525321328	155.038422702414	155.157590885817	NA	85.8973810862551	205.065564488649	4.45315334058895	5.32332975477863	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	18.8224115786358	19.3106823902102	tent4	thEnt	th	E	18.8555834405824	18.9413714569161	19.078527905786	NA	85.7880163337086	222.944465203579	4.45187932696889	5.40692270548423	NA	NA
