Pre-test LatSq-list subj-ID item-ID cond verb
1 3 ZH-Z 9 c kardan
1 2 T-D 9 d ghabul-kardan
1 2 SH-H 9 d irad-gereftan
1 2 D-KH 9 d kardan
1 2 M-CH 9 d kardan
1 2 N 9 d kardan
1 2 S 9 d kardan
1 2 S-A-E 9 d kardan
1 2 S-A- 9 d paziroftan
1 2 D-KH 10 a dashtan
1 2 M-CH 10 a dashtan
1 2 S 10 a dashtan
1 2 S-A- 10 a dashtan
1 2 SH-H 10 a dashtan
1 2 T-D 10 a dashtan
1 2 N 10 a kardan
1 2 S-A-E 10 a kardan
1 1 M 10 b dashtan
1 1 R- 10 b dashtan
1 1 R-G 10 b dashtan
1 1 H 10 b gereftan
1 1 A 10 b kardan
1 1 H-CH 10 b kardan
1 1 K-V 10 b kardan
1 1 M-V 10 b kardan
1 4 A-GH 10 c gereftan
1 4 H 10 c gereftan
1 4 M 10 c gereftan
1 4 M2 10 c gereftan
1 4 R 10 c gereftan
1 4 V 10 c gereftan
1 4 N 10 c gharz-gereftan
1 4 SM-M 10 c talab-dashtan
1 3 B-N 10 d amanat-gereftan
1 3 N-KH 10 d gereftan
1 3 S-GH- 10 d gereftan
1 3 S-GH2 10 d gereftan
1 3 ZH-Z 10 d gereftan
1 3 M-A 10 d gharz-gereftan
1 3 S-R 10 d gharz-kardan
1 3 M-Z 10 d talab-kardan
1 3 B-N 11 a zadan
1 3 M-A 11 a zadan
1 3 M-Z 11 a zadan
1 3 N-KH 11 a zadan
1 3 S-GH- 11 a zadan
1 3 S-GH2 11 a zadan
1 3 S-R 11 a zadan
1 3 ZH-Z 11 a zadan
1 2 D-KH 11 b zadan
1 2 M-CH 11 b zadan
1 2 N 11 b zadan
1 2 S 11 b zadan
1 2 S-A- 11 b zadan
1 2 S-A-E 11 b zadan
1 2 SH-H 11 b zadan
1 2 T-D 11 b zadan
1 1 A 11 c avizan-kardan
1 1 M 11 c budan
1 1 R- 11 c dashtan
1 1 R-G 11 c dashtan
1 1 H-CH 11 c vasl-kardan
1 1 H 11 c zadan
1 1 K-V 11 c zadan
1 1 M-V 11 c zadan
1 4 H 11 d avizan-kardan
1 4 SM-M 11 d motasel-kardan
1 4 A-GH 11 d vasl-kardan
1 4 M 11 d vasl-kardan
1 4 M2 11 d vasl-kardan
1 4 N 11 d vasl-kardan
1 4 R 11 d vasl-kardan
1 4 V 11 d zadan
1 4 M 12 a kardan
1 4 M2 12 a kardan
1 4 R 12 a kardan
1 4 V 12 a rava-kardan
1 4 A-GH 12 a zadan
1 4 H 12 a zadan
1 4 N 12 a zadan
1 4 SM-M 12 a zadan
1 3 B-N 12 b zadan
1 3 M-A 12 b zadan
1 3 M-Z 12 b zadan
1 3 N-KH 12 b zadan
1 3 S-GH- 12 b zadan
1 3 S-GH2 12 b zadan
1 3 S-R 12 b zadan
1 3 ZH-Z 12 b zadan
1 2 D-KH 12 c goftan
1 2 M-CH 12 c goftan
1 2 N 12 c goftan
1 2 S 12 c goftan
1 2 S-A- 12 c goftan
1 2 S-A-E 12 c goftan
1 2 SH-H 12 c goftan
1 2 T-D 12 c goftan
1 1 A 12 d goftan
1 1 H 12 d goftan
1 1 H-CH 12 d goftan
1 1 K-V 12 d goftan
1 1 M 12 d goftan
1 1 M-V 12 d goftan
1 1 R- 12 d goftan
1 1 R-G 12 d goftan
1 1 R-G 13 a hedie-kardan
1 1 M-V 13 a tahvil-dadan
1 1 A 13 a zadan
1 1 H 13 a zadan
1 1 H-CH 13 a zadan
1 1 K-V 13 a zadan
1 1 M 13 a zadan
1 1 R- 13 a zadan
1 4 SM-M 13 b ehda-kardan
1 4 N 13 b hedie-dadan
1 4 H 13 b hedie-dadan
1 4 A-GH 13 b zadan
1 4 M 13 b zadan
1 4 M2 13 b zadan
1 4 R 13 b zadan
1 4 V 13 b zadan
1 3 S-GH2 13 c adres-dadan
1 3 N-KH 13 c bakhshidan
1 3 S-GH- 13 c forukhtan
1 3 S-R 13 c forukhtan
1 3 M-A 13 c hedie-dadan
1 3 B-N 13 c moarefi-kardan
1 3 M-Z 13 c neshan-dadan
1 3 ZH-Z 13 c pul-dadan
1 2 S 13 d bakhshidan
1 2 N 13 d dadan
1 2 SH-H 13 d hedie-dadan
1 2 T-D 13 d hedie-dadan
1 2 M-CH 13 d neshan-dadan
1 2 S-A- 13 d neshan-dadan
1 2 S-A-E 13 d neshan-dadan
1 2 D-KH 13 d sepordan
1 2 D-KH 14 a zadan
1 2 M-CH 14 a zadan
1 2 N 14 a zadan
1 2 S 14 a zadan
1 2 S-A- 14 a zadan
1 2 S-A-E 14 a zadan
1 2 SH-H 14 a zadan
1 2 T-D 14 a zadan
1 1 K-V 14 b avardan
1 1 M 14 b avardan
1 1 A 14 b dadan
1 1 H-CH 14 b dadan
1 1 M-V 14 b dadan
1 1 R- 14 b dadan
1 1 H 14 b kardan
1 4 A-GH 14 c dadan
1 4 H 14 c dadan
1 4 M 14 c dadan
1 4 N 14 c dadan
1 4 SM-M 14 c dadan
1 4 V 14 c dadan
1 4 M2 14 c taghdim-kardan
1 4 R 14 c taghdim-kardan
1 3 B-N 14 d dadan
1 3 M-Z 14 d dadan
1 3 N-KH 14 d dadan
1 3 S-GH- 14 d dadan
1 3 S-GH2 14 d dadan
1 3 S-R 14 d dadan
1 3 ZH-Z 14 d dadan
1 3 M-A 14 d hedie-kardan
1 3 B-N 15 a zadan
1 3 M-A 15 a zadan
1 3 M-Z 15 a zadan
1 3 N-KH 15 a zadan
1 3 S-GH- 15 a zadan
1 3 S-GH2 15 a zadan
1 3 S-R 15 a zadan
1 3 ZH-Z 15 a zadan
1 2 N 15 b vared-kardan
1 2 D-KH 15 b zadan
1 2 M-CH 15 b zadan
1 2 S 15 b zadan
1 2 S-A- 15 b zadan
1 2 S-A-E 15 b zadan
1 2 SH-H 15 b zadan
1 2 T-D 15 b zadan
1 1 R-G 15 c nesbat-dadan
1 1 A 15 c zadan
1 1 H 15 c zadan
1 1 H-CH 15 c zadan
1 1 K-V 15 c zadan
1 1 M 15 c zadan
1 1 M-V 15 c zadan
1 1 R- 15 c zadan
1 4 N 15 d bakhshidan
1 4 A-GH 15 d bargardandan
1 4 M 15 d dadan
1 4 M2 15 d dadan
1 4 R 15 d dadan
1 4 V 15 d dadan
1 4 H 15 d ezafe-kardan
1 4 SM-M 15 d hedie-dadan
1 4 A-GH 16 a goftan
1 4 SM-M 16 a gushzad-kardan
1 4 H 16 a zadan
1 4 M 16 a zadan
1 4 M2 16 a zadan
1 4 N 16 a zadan
1 4 R 16 a zadan
1 4 V 16 a zadan
1 3 B-N 16 b goftan
1 3 M-A 16 b goftan
1 3 M-Z 16 b goftan
1 3 S-GH- 16 b goftan
1 3 S-R 16 b goftan
1 3 N-KH 16 b zadan
1 3 S-GH2 16 b zadan
1 3 ZH-Z 16 b zadan
1 2 N 16 c dadan
1 2 S 16 c dadan
1 2 T-D 16 c dadan
1 2 S-A- 16 c hedie-dadan
