"item.ID" "cond" "verb" "V1" "count" "prob" "entropy"
"295" "35" "b" "anjam-dadan" "1" "8" "0.125" 1.06127812445913
"296" "35" "b" "gereftan" "6" "8" "0.75" 1.06127812445913
"297" "35" "b" "zadan" "1" "8" "0.125" 1.06127812445913
"305" "36" "a" "anjam-dadan" "1" "8" "0.125" 0.543564443199596
"306" "36" "a" "kardan" "7" "8" "0.875" 0.543564443199596
"307" "36" "b" "baian-kardan" "1" "8" "0.125" 1.5487949406954
"308" "36" "b" "dashtan" "1" "8" "0.125" 1.5487949406954
"309" "36" "b" "goftan" "1" "8" "0.125" 1.5487949406954
"310" "36" "b" "kardan" "5" "8" "0.625" 1.5487949406954
"322" "3" "a" "kardan" "7" "7" "1" 0
"323" "3" "b" "kardan" "5" "8" "0.625" 0.954434002924965
"324" "3" "b" "khandan" "3" "8" "0.375" 0.954434002924965
"330" "4" "a" "dashtan" "3" "8" "0.375" 1.40563906222957
"331" "4" "a" "kardan" "4" "8" "0.5" 1.40563906222957
"332" "4" "a" "nemudan" "1" "8" "0.125" 1.40563906222957
"333" "4" "b" "dashtan" "2" "8" "0.25" 1.2987949406954
"334" "4" "b" "kardan" "5" "8" "0.625" 1.2987949406954
"335" "4" "b" "zadan" "1" "8" "0.125" 1.2987949406954
"342" "5" "a" "dariaft-kardan" "1" "8" "0.125" 0.543564443199596
"343" "5" "a" "dashtan" "7" "8" "0.875" 0.543564443199596
"344" "5" "b" "kardan" "6" "8" "0.75" 1.06127812445913
"345" "5" "b" "khastan" "1" "8" "0.125" 1.06127812445913
"346" "5" "b" "talab-kardan" "1" "8" "0.125" 1.06127812445913
"355" "6" "a" "dashtan" "1" "8" "0.125" 0.543564443199596
"356" "6" "a" "kardan" "7" "8" "0.875" 0.543564443199596
"357" "6" "b" "dashtan" "2" "8" "0.25" 1.5
"358" "6" "b" "kardan" "4" "8" "0.5" 1.5
"359" "6" "b" "neveshtan" "2" "8" "0.25" 1.5
"368" "7" "a" "dadan" "2" "8" "0.25" 1.90563906222957
"369" "7" "a" "dashtan" "3" "8" "0.375" 1.90563906222957
"370" "7" "a" "erae-kardan" "2" "8" "0.25" 1.90563906222957
"371" "7" "a" "kardan" "1" "8" "0.125" 1.90563906222957
"372" "7" "b" "kardan" "6" "8" "0.75" 0.811278124459133
"373" "7" "b" "nemudan" "2" "8" "0.25" 0.811278124459133
"384" "8" "a" "dashtan" "8" "8" "1" 0
"385" "8" "b" "darkhast-kardan" "2" "8" "0.25" 0.811278124459133
"386" "8" "b" "dashtan" "6" "8" "0.75" 0.811278124459133
"397" "9" "a" "bardashtan" "2" "8" "0.25" 1.75
"398" "9" "a" "bardasht-kardan" "1" "8" "0.125" 1.75
"399" "9" "a" "darkhast-kardan" "1" "8" "0.125" 1.75
"400" "9" "a" "dashtan" "4" "8" "0.5" 1.75
"401" "9" "b" "dariaft-kardan" "1" "8" "0.125" 1.5487949406954
"402" "9" "b" "gereftan" "5" "8" "0.625" 1.5487949406954
"403" "9" "b" "kharidan" "1" "8" "0.125" 1.5487949406954
"404" "9" "b" "taghaza-kardan" "1" "8" "0.125" 1.5487949406954
