"subject" "item" "condition" "rt" "correct" "roi" "expt"
"239" "e2_21" 17 "a" 397 1 "RCNP" "e2"
"240" "e2_5" 17 "a" 433 1 "RCNP" "e2"
"241" "e2_17" 17 "a" 437 1 "RCNP" "e2"
"242" "e2_57" 17 "a" 450 1 "RCNP" "e2"
"243" "e2_37" 17 "a" 494 1 "RCNP" "e2"
"244" "e2_33" 17 "a" 634 1 "RCNP" "e2"
"245" "e2_9" 17 "a" 783 1 "RCNP" "e2"
"246" "e2_49" 17 "a" 964 1 "RCNP" "e2"
"247" "e2_16" 18 "a" 299 1 "RCNP" "e2"
"248" "e2_20" 18 "a" 319 1 "RCNP" "e2"
"249" "e2_56" 18 "a" 342 1 "RCNP" "e2"
"250" "e2_12" 18 "a" 362 1 "RCNP" "e2"
"251" "e2_40" 18 "a" 397 1 "RCNP" "e2"
"252" "e2_60" 18 "a" 414 2 "RCNP" "e2"
"253" "e2_28" 18 "a" 429 1 "RCNP" "e2"
"254" "e2_52" 18 "a" 559 1 "RCNP" "e2"
"255" "e2_8" 18 "a" 571 1 "RCNP" "e2"
"256" "e2_32" 18 "a" 615 2 "RCNP" "e2"
"257" "e2_4" 18 "a" 651 1 "RCNP" "e2"
"258" "e2_44" 18 "a" 663 1 "RCNP" "e2"
"259" "e2_36" 18 "a" 747 1 "RCNP" "e2"
"260" "e2_24" 18 "a" 812 1 "RCNP" "e2"
"261" "e2_48" 18 "a" 4346 1 "RCNP" "e2"
"262" "e2_19" 19 "a" 267 1 "RCNP" "e2"
"263" "e2_59" 19 "a" 277 1 "RCNP" "e2"
"264" "e2_51" 19 "a" 286 1 "RCNP" "e2"
"265" "e2_35" 19 "a" 296 1 "RCNP" "e2"
"266" "e2_27" 19 "a" 348 1 "RCNP" "e2"
"267" "e2_15" 19 "a" 364 1 "RCNP" "e2"
"268" "e2_23" 19 "a" 379 1 "RCNP" "e2"
"269" "e2_3" 19 "a" 423 1 "RCNP" "e2"
"270" "e2_39" 19 "a" 450 1 "RCNP" "e2"
"271" "e2_55" 19 "a" 478 1 "RCNP" "e2"
"272" "e2_7" 19 "a" 481 1 "RCNP" "e2"
"273" "e2_43" 19 "a" 483 1 "RCNP" "e2"
"274" "e2_31" 19 "a" 540 1 "RCNP" "e2"
"275" "e2_47" 19 "a" 793 1 "RCNP" "e2"
"276" "e2_18" 20 "a" 285 1 "RCNP" "e2"
"277" "e2_22" 20 "a" 286 1 "RCNP" "e2"
"278" "e2_30" 20 "a" 341 1 "RCNP" "e2"
"279" "e2_46" 20 "a" 373 1 "RCNP" "e2"
"280" "e2_34" 20 "a" 383 1 "RCNP" "e2"
"281" "e2_38" 20 "a" 412 1 "RCNP" "e2"
"282" "e2_6" 20 "a" 421 1 "RCNP" "e2"
"283" "e2_54" 20 "a" 485 1 "RCNP" "e2"
"284" "e2_26" 20 "a" 557 1 "RCNP" "e2"
"285" "e2_14" 20 "a" 654 1 "RCNP" "e2"
"286" "e2_58" 20 "a" 657 1 "RCNP" "e2"
"287" "e2_50" 20 "a" 726 1 "RCNP" "e2"
"288" "e2_42" 20 "a" 893 1 "RCNP" "e2"
"289" "e2_2" 20 "a" 2513 1 "RCNP" "e2"
"290" "e2_10" 20 "a" 2609 1 "RCNP" "e2"
"291" "e2_29" 21 "a" 218 1 "RCNP" "e2"
"292" "e2_13" 21 "a" 224 1 "RCNP" "e2"
"293" "e2_41" 21 "a" 380 1 "RCNP" "e2"
"294" "e2_5" 21 "a" 383 1 "RCNP" "e2"
"295" "e2_45" 21 "a" 420 1 "RCNP" "e2"
"296" "e2_49" 21 "a" 422 1 "RCNP" "e2"
"297" "e2_53" 21 "a" 535 1 "RCNP" "e2"
"298" "e2_33" 21 "a" 686 1 "RCNP" "e2"
"299" "e2_57" 21 "a" 733 1 "RCNP" "e2"
"300" "e2_37" 21 "a" 763 1 "RCNP" "e2"
"301" "e2_17" 21 "a" 787 1 "RCNP" "e2"
"302" "e2_21" 21 "a" 868 1 "RCNP" "e2"
"303" "e2_9" 21 "a" 1400 1 "RCNP" "e2"
"304" "e2_25" 21 "a" 1745 1 "RCNP" "e2"
"305" "e2_40" 22 "a" 186 1 "RCNP" "e2"
"306" "e2_56" 22 "a" 271 1 "RCNP" "e2"
"307" "e2_16" 22 "a" 344 1 "RCNP" "e2"
"308" "e2_8" 22 "a" 360 1 "RCNP" "e2"
"309" "e2_48" 22 "a" 373 1 "RCNP" "e2"
"310" "e2_4" 22 "a" 380 1 "RCNP" "e2"
"311" "e2_28" 22 "a" 430 1 "RCNP" "e2"
"312" "e2_60" 22 "a" 433 1 "RCNP" "e2"
"313" "e2_12" 22 "a" 441 1 "RCNP" "e2"
"314" "e2_32" 22 "a" 467 1 "RCNP" "e2"
"315" "e2_20" 22 "a" 475 1 "RCNP" "e2"
"316" "e2_36" 22 "a" 499 1 "RCNP" "e2"
"317" "e2_24" 22 "a" 799 1 "RCNP" "e2"
"318" "e2_44" 22 "a" 821 1 "RCNP" "e2"
"319" "e2_52" 22 "a" 1106 1 "RCNP" "e2"
"320" "e2_35" 23 "a" 254 1 "RCNP" "e2"
"321" "e2_59" 23 "a" 277 1 "RCNP" "e2"
"322" "e2_55" 23 "a" 316 1 "RCNP" "e2"
"323" "e2_15" 23 "a" 351 1 "RCNP" "e2"
"324" "e2_19" 23 "a" 379 1 "RCNP" "e2"
"325" "e2_43" 23 "a" 387 1 "RCNP" "e2"
"326" "e2_47" 23 "a" 408 1 "RCNP" "e2"
"327" "e2_3" 23 "a" 417 1 "RCNP" "e2"
"328" "e2_7" 23 "a" 457 1 "RCNP" "e2"
"329" "e2_27" 23 "a" 537 1 "RCNP" "e2"
"330" "e2_23" 23 "a" 564 1 "RCNP" "e2"
"331" "e2_31" 23 "a" 638 1 "RCNP" "e2"
"332" "e2_51" 23 "a" 661 1 "RCNP" "e2"
"333" "e2_39" 23 "a" 702 1 "RCNP" "e2"
"334" "e2_30" 24 "a" 221 1 "RCNP" "e2"
"335" "e2_22" 24 "a" 318 1 "RCNP" "e2"
"336" "e2_6" 24 "a" 324 1 "RCNP" "e2"
"337" "e2_42" 24 "a" 341 1 "RCNP" "e2"
"338" "e2_18" 24 "a" 347 1 "RCNP" "e2"
"339" "e2_14" 24 "a" 348 1 "RCNP" "e2"
"340" "e2_46" 24 "a" 358 1 "RCNP" "e2"
