ID	exp	item	condition	CL 	BEI	aligned.position	region	correct	RT
4	e5	14	a	noCL	noBEI	3	3	-	530
4	e5	14	a	noCL	noBEI	4	4	-	3149
4	e5	14	a	noCL	noBEI	5	5	-	593
4	e5	14	a	noCL	noBEI	6	6	-	537
4	e5	14	a	noCL	noBEI	?	?	1	1231
4	e5	18	a	noCL	noBEI	0	0	-	315
4	e5	18	a	noCL	noBEI	1	1	-	657
4	e5	18	a	noCL	noBEI	2	2	-	402
4	e5	18	a	noCL	noBEI	3	3	-	561
4	e5	18	a	noCL	noBEI	4	4	-	402
4	e5	18	a	noCL	noBEI	5	5	-	593
4	e5	18	a	noCL	noBEI	6	6	-	728
4	e5	18	a	noCL	noBEI	?	?	0	6955
4	e5	22	a	noCL	noBEI	0	0	-	474
4	e5	22	a	noCL	noBEI	1	1	-	1740
4	e5	22	a	noCL	noBEI	2	2	-	347
4	e5	22	a	noCL	noBEI	3	3	-	689
4	e5	22	a	noCL	noBEI	4	4	-	586
4	e5	22	a	noCL	noBEI	5	5	-	466
4	e5	22	a	noCL	noBEI	6	6	-	530
4	e5	22	a	noCL	noBEI	?	?	1	1560
5	e5	1	a	noCL	noBEI	0	0	-	435
5	e5	1	a	noCL	noBEI	1	1	-	427
5	e5	1	a	noCL	noBEI	2	2	-	482
5	e5	1	a	noCL	noBEI	3	3	-	482
5	e5	1	a	noCL	noBEI	4	4	-	323
5	e5	1	a	noCL	noBEI	5	5	-	490
5	e5	1	a	noCL	noBEI	6	6	-	529
5	e5	1	a	noCL	noBEI	?	?	1	3891
5	e5	5	a	noCL	noBEI	0	0	-	387
5	e5	5	a	noCL	noBEI	1	1	-	434
5	e5	5	a	noCL	noBEI	2	2	-	435
5	e5	5	a	noCL	noBEI	3	3	-	1978
5	e5	5	a	noCL	noBEI	4	4	-	482
5	e5	5	a	noCL	noBEI	5	5	-	1644
5	e5	5	a	noCL	noBEI	6	6	-	856
5	e5	5	a	noCL	noBEI	?	?	1	2528
5	e5	9	a	noCL	noBEI	0	0	-	410
5	e5	9	a	noCL	noBEI	1	1	-	753
5	e5	9	a	noCL	noBEI	2	2	-	386
5	e5	9	a	noCL	noBEI	3	3	-	338
5	e5	9	a	noCL	noBEI	4	4	-	2050
5	e5	9	a	noCL	noBEI	5	5	-	664
5	e5	9	a	noCL	noBEI	6	6	-	1159
5	e5	9	a	noCL	noBEI	?	?	1	2364
5	e5	13	a	noCL	noBEI	0	0	-	793
5	e5	13	a	noCL	noBEI	1	1	-	1174
5	e5	13	a	noCL	noBEI	2	2	-	537
5	e5	13	a	noCL	noBEI	3	3	-	864
5	e5	13	a	noCL	noBEI	4	4	-	1907
5	e5	13	a	noCL	noBEI	5	5	-	545
5	e5	13	a	noCL	noBEI	6	6	-	474
5	e5	13	a	noCL	noBEI	?	?	0	3503
5	e5	17	a	noCL	noBEI	0	0	-	737
5	e5	17	a	noCL	noBEI	1	1	-	840
5	e5	17	a	noCL	noBEI	2	2	-	458
5	e5	17	a	noCL	noBEI	3	3	-	1381
5	e5	17	a	noCL	noBEI	4	4	-	649
5	e5	17	a	noCL	noBEI	5	5	-	450
5	e5	17	a	noCL	noBEI	6	6	-	777
5	e5	17	a	noCL	noBEI	?	?	0	1934
5	e5	21	a	noCL	noBEI	0	0	-	792
5	e5	21	a	noCL	noBEI	1	1	-	776
5	e5	21	a	noCL	noBEI	2	2	-	506
5	e5	21	a	noCL	noBEI	3	3	-	2909
5	e5	21	a	noCL	noBEI	4	4	-	506
5	e5	21	a	noCL	noBEI	5	5	-	394
5	e5	21	a	noCL	noBEI	6	6	-	2058
