"subject" "item" "condition" "RT" "correct" "roi" "expt"
"183" "e1_1" 8 "d" 586 "1" "headnoun" "e1"
"184" "e1_1" 8 "d" 347 "1" "MainV" "e1"
"185" "e1_1" 8 "d" 323 "1" "RCNP" "e1"
"186" "e1_1" 9 "a" 236 "1" "RCV" "e1"
"187" "e1_1" 9 "a" 275 "1" "de" "e1"
"188" "e1_1" 9 "a" 291 "1" "Adv" "e1"
"189" "e1_1" 9 "a" 434 "1" "MainV" "e1"
"190" "e1_1" 9 "a" 283 "1" "headnoun" "e1"
"191" "e1_1" 9 "a" 299 "1" "RCNP" "e1"
"192" "e1_1" 9 "a" 3451 "1" "MainO" "e1"
"193" "e1_10" 1 "b" 354 "1" "Adv" "e1"
"194" "e1_10" 1 "b" 338 "1" "MainV" "e1"
"195" "e1_10" 1 "b" 346 "1" "de" "e1"
"196" "e1_10" 1 "b" 434 "1" "CL" "e1"
"197" "e1_10" 1 "b" 307 "1" "headnoun" "e1"
"198" "e1_10" 1 "b" 466 "1" "RCV" "e1"
"199" "e1_10" 1 "b" 418 "1" "RCNP" "e1"
"200" "e1_10" 1 "b" 363 "1" "MainO" "e1"
"201" "e1_10" 10 "c" 291 "1" "RCV" "e1"
"202" "e1_10" 10 "c" 490 "1" "MainO" "e1"
"203" "e1_10" 10 "c" 562 "1" "BEI" "e1"
"204" "e1_10" 10 "c" 378 "1" "MainV" "e1"
"205" "e1_10" 10 "c" 522 "1" "RCNP" "e1"
"206" "e1_10" 10 "c" 283 "1" "headnoun" "e1"
"207" "e1_10" 10 "c" 307 "1" "Adv" "e1"
"208" "e1_10" 10 "c" 410 "1" "de" "e1"
"209" "e1_10" 11 "d" 410 "1" "headnoun" "e1"
"210" "e1_10" 11 "d" 466 "1" "MainV" "e1"
"211" "e1_10" 11 "d" 410 "1" "BEI" "e1"
"212" "e1_10" 11 "d" 490 "1" "CL" "e1"
"213" "e1_10" 11 "d" 243 "1" "Adv" "e1"
"214" "e1_10" 11 "d" 315 "1" "RCV" "e1"
"215" "e1_10" 11 "d" 275 "1" "de" "e1"
"216" "e1_10" 11 "d" 577 "1" "MainO" "e1"
"217" "e1_10" 11 "d" 235 "1" "RCNP" "e1"
"218" "e1_10" 12 "a" 402 "1" "de" "e1"
"219" "e1_10" 12 "a" 378 "1" "headnoun" "e1"
"220" "e1_10" 12 "a" 386 "1" "MainV" "e1"
"221" "e1_10" 12 "a" 434 "1" "MainO" "e1"
"222" "e1_10" 12 "a" 442 "1" "Adv" "e1"
"223" "e1_10" 12 "a" 474 "1" "RCNP" "e1"
"224" "e1_10" 12 "a" 466 "1" "RCV" "e1"
"225" "e1_10" 13 "b" 553 "1" "de" "e1"
"226" "e1_10" 13 "b" 378 "1" "MainO" "e1"
"227" "e1_10" 13 "b" 673 "1" "Adv" "e1"
"228" "e1_10" 13 "b" 490 "1" "headnoun" "e1"
"229" "e1_10" 13 "b" 458 "1" "MainV" "e1"
"230" "e1_10" 13 "b" 450 "1" "RCNP" "e1"
"231" "e1_10" 13 "b" 458 "1" "CL" "e1"
"232" "e1_10" 13 "b" 529 "1" "RCV" "e1"
"233" "e1_10" 14 "c" 538 "1" "RCV" "e1"
"234" "e1_10" 14 "c" 506 "1" "Adv" "e1"
"235" "e1_10" 14 "c" 665 "1" "de" "e1"
"236" "e1_10" 14 "c" 578 "1" "MainO" "e1"
"237" "e1_10" 14 "c" 553 "1" "headnoun" "e1"
"238" "e1_10" 14 "c" 450 "1" "MainV" "e1"
"239" "e1_10" 14 "c" 546 "1" "RCNP" "e1"
"240" "e1_10" 14 "c" 554 "1" "BEI" "e1"
"241" "e1_10" 15 "d" 347 "1" "de" "e1"
"242" "e1_10" 15 "d" 323 "1" "headnoun" "e1"
"243" "e1_10" 15 "d" 363 "1" "BEI" "e1"
