"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int" "g" "i" "gxi" "lang" "method"
"156" "NP3" 13 "e1a" 9 "a" 8 "bystander" "rt" 842 "gram" "hi" 1 1 -1 "english" "spr"
"158" "NP3" 13 "e1a" 1 "a" 8 "peasant" "rt" 506 "gram" "hi" 1 1 -1 "english" "spr"
"160" "NP3" 13 "e1a" 3 "c" 8 "foreman" "rt" 554 "ungram" "hi" -1 1 1 "english" "spr"
"162" "NP3" 14 "e1a" 4 "a" 8 "professor" "rt" 1482 "gram" "hi" 1 1 -1 "english" "spr"
"164" "NP3" 14 "e1a" 3 "d" 8 "foreman" "rt" 1370 "ungram" "lo" -1 -1 -1 "english" "spr"
"166" "NP3" 14 "e1a" 13 "b" 8 "worker" "rt" 1362 "gram" "lo" 1 -1 1 "english" "spr"
"168" "NP3" 14 "e1a" 11 "d" 8 "visitor" "rt" 1226 "ungram" "lo" -1 -1 -1 "english" "spr"
"170" "NP3" 14 "e1a" 12 "a" 8 "teacher" "rt" 1490 "gram" "hi" 1 1 -1 "english" "spr"
"172" "NP3" 14 "e1a" 16 "a" 8 "friend" "rt" 1321 "gram" "hi" 1 1 -1 "english" "spr"
"174" "NP3" 14 "e1a" 14 "c" 8 "spy" "rt" 1578 "ungram" "hi" -1 1 1 "english" "spr"
"176" "NP3" 14 "e1a" 6 "c" 8 "conductor" "rt" 1577 "ungram" "hi" -1 1 1 "english" "spr"
"178" "NP3" 14 "e1a" 7 "d" 8 "stranger" "rt" 826 "ungram" "lo" -1 -1 -1 "english" "spr"
"180" "NP3" 14 "e1a" 15 "d" 8 "peasant" "rt" 1242 "ungram" "lo" -1 -1 -1 "english" "spr"
"182" "NP3" 14 "e1a" 2 "c" 8 "sister" "rt" 1050 "ungram" "hi" -1 1 1 "english" "spr"
"184" "NP3" 14 "e1a" 5 "b" 8 "father" "rt" 834 "gram" "lo" 1 -1 1 "english" "spr"
"186" "NP3" 14 "e1a" 1 "b" 8 "peasant" "rt" 1186 "gram" "lo" 1 -1 1 "english" "spr"
"188" "NP3" 14 "e1a" 8 "a" 8 "doctor" "rt" 994 "gram" "hi" 1 1 -1 "english" "spr"
"190" "NP3" 14 "e1a" 9 "b" 8 "bystander" "rt" 1138 "gram" "lo" 1 -1 1 "english" "spr"
"192" "NP3" 14 "e1a" 10 "c" 8 "guard" "rt" 1154 "ungram" "hi" -1 1 1 "english" "spr"
"194" "NP3" 15 "e1a" 1 "c" 8 "peasant" "rt" 770 "ungram" "hi" -1 1 1 "english" "spr"
"196" "NP3" 15 "e1a" 2 "d" 8 "sister" "rt" 1658 "ungram" "lo" -1 -1 -1 "english" "spr"
"198" "NP3" 15 "e1a" 14 "d" 8 "spy" "rt" 738 "ungram" "lo" -1 -1 -1 "english" "spr"
"200" "NP3" 15 "e1a" 10 "d" 8 "guard" "rt" 690 "ungram" "lo" -1 -1 -1 "english" "spr"
"202" "NP3" 15 "e1a" 16 "b" 8 "friend" "rt" 826 "gram" "lo" 1 -1 1 "english" "spr"
"204" "NP3" 15 "e1a" 15 "a" 8 "peasant" "rt" 714 "gram" "hi" 1 1 -1 "english" "spr"
"206" "NP3" 15 "e1a" 11 "a" 8 "visitor" "rt" 642 "gram" "hi" 1 1 -1 "english" "spr"
"208" "NP3" 15 "e1a" 8 "b" 8 "doctor" "rt" 1138 "gram" "lo" 1 -1 1 "english" "spr"
"210" "NP3" 15 "e1a" 13 "c" 8 "worker" "rt" 818 "ungram" "hi" -1 1 1 "english" "spr"
"212" "NP3" 15 "e1a" 6 "d" 8 "conductor" "rt" 818 "ungram" "lo" -1 -1 -1 "english" "spr"
"214" "NP3" 15 "e1a" 12 "b" 8 "teacher" "rt" 1594 "gram" "lo" 1 -1 1 "english" "spr"
"216" "NP3" 15 "e1a" 7 "a" 8 "stranger" "rt" 633 "gram" "hi" 1 1 -1 "english" "spr"
"218" "NP3" 15 "e1a" 3 "a" 8 "foreman" "rt" 562 "gram" "hi" 1 1 -1 "english" "spr"
"220" "NP3" 15 "e1a" 5 "c" 8 "father" "rt" 546 "ungram" "hi" -1 1 1 "english" "spr"
"222" "NP3" 15 "e1a" 4 "b" 8 "professor" "rt" 450 "gram" "lo" 1 -1 1 "english" "spr"
"224" "NP3" 15 "e1a" 9 "c" 8 "bystander" "rt" 498 "ungram" "hi" -1 1 1 "english" "spr"
"226" "NP3" 16 "e1a" 14 "a" 8 "spy" "rt" 938 "gram" "hi" 1 1 -1 "english" "spr"
"228" "NP3" 16 "e1a" 1 "d" 8 "peasant" "rt" 674 "ungram" "lo" -1 -1 -1 "english" "spr"
"230" "NP3" 16 "e1a" 11 "b" 8 "visitor" "rt" 2210 "gram" "lo" 1 -1 1 "english" "spr"
"232" "NP3" 16 "e1a" 6 "a" 8 "conductor" "rt" 1705 "gram" "hi" 1 1 -1 "english" "spr"
"234" "NP3" 16 "e1a" 10 "a" 8 "guard" "rt" 881 "gram" "hi" 1 1 -1 "english" "spr"
"236" "NP3" 16 "e1a" 5 "d" 8 "father" "rt" 938 "ungram" "lo" -1 -1 -1 "english" "spr"
"238" "NP3" 16 "e1a" 9 "d" 8 "bystander" "rt" 713 "ungram" "lo" -1 -1 -1 "english" "spr"
"240" "NP3" 16 "e1a" 3 "b" 8 "foreman" "rt" 1114 "gram" "lo" 1 -1 1 "english" "spr"
"242" "NP3" 16 "e1a" 15 "b" 8 "peasant" "rt" 770 "gram" "lo" 1 -1 1 "english" "spr"
"244" "NP3" 16 "e1a" 8 "c" 8 "doctor" "rt" 961 "ungram" "hi" -1 1 1 "english" "spr"
"246" "NP3" 16 "e1a" 12 "c" 8 "teacher" "rt" 754 "ungram" "hi" -1 1 1 "english" "spr"
"248" "NP3" 16 "e1a" 13 "d" 8 "worker" "rt" 1034 "ungram" "lo" -1 -1 -1 "english" "spr"
"250" "NP3" 16 "e1a" 7 "b" 8 "stranger" "rt" 1018 "gram" "lo" 1 -1 1 "english" "spr"
"252" "NP3" 16 "e1a" 2 "a" 8 "sister" "rt" 978 "gram" "hi" 1 1 -1 "english" "spr"
"254" "NP3" 16 "e1a" 4 "c" 8 "professor" "rt" 1160 "ungram" "hi" -1 1 1 "english" "spr"
"256" "NP3" 16 "e1a" 16 "c" 8 "friend" "rt" 986 "ungram" "hi" -1 1 1 "english" "spr"
"258" "NP3" 17 "e1a" 9 "a" 8 "bystander" "rt" 754 "gram" "hi" 1 1 -1 "english" "spr"
"260" "NP3" 17 "e1a" 5 "a" 8 "father" "rt" 962 "gram" "hi" 1 1 -1 "english" "spr"
"262" "NP3" 17 "e1a" 13 "a" 8 "worker" "rt" 2370 "gram" "hi" 1 1 -1 "english" "spr"
"264" "NP3" 17 "e1a" 3 "c" 8 "foreman" "rt" 786 "ungram" "hi" -1 1 1 "english" "spr"
"266" "NP3" 17 "e1a" 7 "c" 8 "stranger" "rt" 1545 "ungram" "hi" -1 1 1 "english" "spr"
"268" "NP3" 17 "e1a" 1 "a" 8 "peasant" "rt" 450 "gram" "hi" 1 1 -1 "english" "spr"
"270" "NP3" 17 "e1a" 16 "d" 8 "friend" "rt" 506 "ungram" "lo" -1 -1 -1 "english" "spr"
"272" "NP3" 17 "e1a" 6 "b" 8 "conductor" "rt" 474 "gram" "lo" 1 -1 1 "english" "spr"
"274" "NP3" 17 "e1a" 2 "b" 8 "sister" "rt" 482 "gram" "lo" 1 -1 1 "english" "spr"
"276" "NP3" 17 "e1a" 8 "d" 8 "doctor" "rt" 450 "ungram" "lo" -1 -1 -1 "english" "spr"
"278" "NP3" 17 "e1a" 4 "d" 8 "professor" "rt" 450 "ungram" "lo" -1 -1 -1 "english" "spr"
"280" "NP3" 17 "e1a" 10 "b" 8 "guard" "rt" 458 "gram" "lo" 1 -1 1 "english" "spr"
"282" "NP3" 17 "e1a" 14 "b" 8 "spy" "rt" 482 "gram" "lo" 1 -1 1 "english" "spr"
"284" "NP3" 17 "e1a" 11 "c" 8 "visitor" "rt" 465 "ungram" "hi" -1 1 1 "english" "spr"
"286" "NP3" 17 "e1a" 12 "d" 8 "teacher" "rt" 714 "ungram" "lo" -1 -1 -1 "english" "spr"
"288" "NP3" 17 "e1a" 15 "c" 8 "peasant" "rt" 442 "ungram" "hi" -1 1 1 "english" "spr"
"290" "NP3" 18 "e1a" 7 "d" 8 "stranger" "rt" 962 "ungram" "lo" -1 -1 -1 "english" "spr"
"292" "NP3" 18 "e1a" 15 "d" 8 "peasant" "rt" 602 "ungram" "lo" -1 -1 -1 "english" "spr"
"294" "NP3" 18 "e1a" 16 "a" 8 "friend" "rt" 770 "gram" "hi" 1 1 -1 "english" "spr"
