"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int" "g" "i" "gxi" "lang" "method"
"136" "NP3" 120 "e4" 4 "c" 9 "NA" "RRT" 567.413 "ungram" "hi" -1 1 -1 "german" "et"
"137" "NP3" 31 "e4" 4 "d" 9 "NA" "RRT" 516.978 "ungram" "lo" -1 -1 1 "german" "et"
"138" "NP3" 42 "e4" 4 "d" 9 "NA" "RRT" 189.115 "ungram" "lo" -1 -1 1 "german" "et"
"139" "NP3" 126 "e4" 4 "d" 9 "NA" "RRT" 857.436 "ungram" "lo" -1 -1 1 "german" "et"
"140" "NP3" 121 "e4" 4 "d" 9 "NA" "RRT" 836.403 "ungram" "lo" -1 -1 1 "german" "et"
"141" "NP3" 117 "e4" 4 "d" 9 "NA" "RRT" 634.647 "ungram" "lo" -1 -1 1 "german" "et"
"142" "NP3" 104 "e4" 4 "d" 9 "NA" "RRT" 357.234 "ungram" "lo" -1 -1 1 "german" "et"
"143" "NP3" 113 "e4" 4 "d" 9 "NA" "RRT" 197.54 "ungram" "lo" -1 -1 1 "german" "et"
"144" "NP3" 50 "e4" 4 "d" 9 "NA" "RRT" 777.6 "ungram" "lo" -1 -1 1 "german" "et"
"145" "NP3" 50 "e4" 5 "a" 9 "NA" "RRT" 1920.769 "gram" "hi" 1 1 1 "german" "et"
"146" "NP3" 31 "e4" 5 "a" 9 "NA" "RRT" 1580.27 "gram" "hi" 1 1 1 "german" "et"
"147" "NP3" 35 "e4" 5 "a" 9 "NA" "RRT" 8.405 "gram" "hi" 1 1 1 "german" "et"
"148" "NP3" 42 "e4" 5 "a" 9 "NA" "RRT" 2534.445 "gram" "hi" 1 1 1 "german" "et"
"149" "NP3" 39 "e4" 5 "a" 9 "NA" "RRT" 163.894 "gram" "hi" 1 1 1 "german" "et"
"150" "NP3" 121 "e4" 5 "a" 9 "NA" "RRT" 2046.892 "gram" "hi" 1 1 1 "german" "et"
"151" "NP3" 113 "e4" 5 "a" 9 "NA" "RRT" 247.984 "gram" "hi" 1 1 1 "german" "et"
"152" "NP3" 117 "e4" 5 "a" 9 "NA" "RRT" 1033.889 "gram" "hi" 1 1 1 "german" "et"
"153" "NP3" 32 "e4" 5 "b" 9 "NA" "RRT" 1740.087 "gram" "lo" 1 -1 -1 "german" "et"
"154" "NP3" 43 "e4" 5 "b" 9 "NA" "RRT" 882.64 "gram" "lo" 1 -1 -1 "german" "et"
"155" "NP3" 118 "e4" 5 "b" 9 "NA" "RRT" 437.094 "gram" "lo" 1 -1 -1 "german" "et"
"156" "NP3" 114 "e4" 5 "b" 9 "NA" "RRT" 1698.033 "gram" "lo" 1 -1 -1 "german" "et"
"157" "NP3" 110 "e4" 5 "b" 9 "NA" "RRT" 840.591 "gram" "lo" 1 -1 -1 "german" "et"
"158" "NP3" 101 "e4" 5 "b" 9 "NA" "RRT" 626.203 "gram" "lo" 1 -1 -1 "german" "et"
"159" "NP3" 127 "e4" 5 "b" 9 "NA" "RRT" 323.615 "gram" "lo" 1 -1 -1 "german" "et"
"160" "NP3" 122 "e4" 5 "b" 9 "NA" "RRT" 605.214 "gram" "lo" 1 -1 -1 "german" "et"
"161" "NP3" 124 "e4" 5 "b" 9 "NA" "RRT" 252.18 "gram" "lo" 1 -1 -1 "german" "et"
"162" "NP3" 41 "e4" 5 "c" 9 "NA" "RRT" 306.783 "ungram" "hi" -1 1 -1 "german" "et"
"163" "NP3" 37 "e4" 5 "c" 9 "NA" "RRT" 361.455 "ungram" "hi" -1 1 -1 "german" "et"
"164" "NP3" 33 "e4" 5 "c" 9 "NA" "RRT" 928.865 "ungram" "hi" -1 1 -1 "german" "et"
"165" "NP3" 29 "e4" 5 "c" 9 "NA" "RRT" 168.106 "ungram" "hi" -1 1 -1 "german" "et"
"166" "NP3" 111 "e4" 5 "c" 9 "NA" "RRT" 151.332 "ungram" "hi" -1 1 -1 "german" "et"
"167" "NP3" 106 "e4" 5 "c" 9 "NA" "RRT" 163.922 "ungram" "hi" -1 1 -1 "german" "et"
"168" "NP3" 102 "e4" 5 "c" 9 "NA" "RRT" 420.293 "ungram" "hi" -1 1 -1 "german" "et"
"169" "NP3" 48 "e4" 5 "c" 9 "NA" "RRT" 218.578 "ungram" "hi" -1 1 -1 "german" "et"
"170" "NP3" 125 "e4" 5 "c" 9 "NA" "RRT" 1807.349 "ungram" "hi" -1 1 -1 "german" "et"
"171" "NP3" 119 "e4" 5 "c" 9 "NA" "RRT" 437.147 "ungram" "hi" -1 1 -1 "german" "et"
"172" "NP3" 123 "e4" 5 "c" 9 "NA" "RRT" 706.116 "ungram" "hi" -1 1 -1 "german" "et"
"173" "NP3" 30 "e4" 5 "d" 9 "NA" "RRT" 130.292 "ungram" "lo" -1 -1 1 "german" "et"
"174" "NP3" 45 "e4" 5 "d" 9 "NA" "RRT" 1466.84 "ungram" "lo" -1 -1 1 "german" "et"
"175" "NP3" 38 "e4" 5 "d" 9 "NA" "RRT" 3324.584 "ungram" "lo" -1 -1 1 "german" "et"
"176" "NP3" 34 "e4" 5 "d" 9 "NA" "RRT" 1655.997 "ungram" "lo" -1 -1 1 "german" "et"
"177" "NP3" 112 "e4" 5 "d" 9 "NA" "RRT" 449.735 "ungram" "lo" -1 -1 1 "german" "et"
"178" "NP3" 108 "e4" 5 "d" 9 "NA" "RRT" 1714.82 "ungram" "lo" -1 -1 1 "german" "et"
"179" "NP3" 103 "e4" 5 "d" 9 "NA" "RRT" 226.979 "ungram" "lo" -1 -1 1 "german" "et"
"180" "NP3" 128 "e4" 5 "d" 9 "NA" "RRT" 168.123 "ungram" "lo" -1 -1 1 "german" "et"
"181" "NP3" 120 "e4" 5 "d" 9 "NA" "RRT" 260.592 "ungram" "lo" -1 -1 1 "german" "et"
"182" "NP3" 116 "e4" 5 "d" 9 "NA" "RRT" 1084.382 "ungram" "lo" -1 -1 1 "german" "et"
"183" "NP3" 107 "e4" 5 "d" 9 "NA" "RRT" 378.254 "ungram" "lo" -1 -1 1 "german" "et"
"184" "NP3" 49 "e4" 6 "a" 9 "NA" "RRT" 437.103 "gram" "hi" 1 1 1 "german" "et"
"185" "NP3" 108 "e4" 6 "a" 9 "NA" "RRT" 668.292 "gram" "hi" 1 1 1 "german" "et"
"186" "NP3" 107 "e4" 6 "a" 9 "NA" "RRT" 891.052 "gram" "hi" 1 1 1 "german" "et"
"187" "NP3" 30 "e4" 6 "a" 9 "NA" "RRT" 630.447 "gram" "hi" 1 1 1 "german" "et"
"188" "NP3" 112 "e4" 6 "a" 9 "NA" "RRT" 121.876 "gram" "hi" 1 1 1 "german" "et"
"189" "NP3" 45 "e4" 6 "a" 9 "NA" "RRT" 142.898 "gram" "hi" 1 1 1 "german" "et"
"190" "NP3" 120 "e4" 6 "a" 9 "NA" "RRT" 369.836 "gram" "hi" 1 1 1 "german" "et"
"191" "NP3" 38 "e4" 6 "a" 9 "NA" "RRT" 4215.623 "gram" "hi" 1 1 1 "german" "et"
"192" "NP3" 34 "e4" 6 "a" 9 "NA" "RRT" 2509.182 "gram" "hi" 1 1 1 "german" "et"
"193" "NP3" 116 "e4" 6 "a" 9 "NA" "RRT" 1445.834 "gram" "hi" 1 1 1 "german" "et"
"194" "NP3" 31 "e4" 6 "b" 9 "NA" "RRT" 1412.248 "gram" "lo" 1 -1 -1 "german" "et"
"195" "NP3" 42 "e4" 6 "b" 9 "NA" "RRT" 1017.155 "gram" "lo" 1 -1 -1 "german" "et"
"196" "NP3" 50 "e4" 6 "b" 9 "NA" "RRT" 1000.32 "gram" "lo" 1 -1 -1 "german" "et"
"197" "NP3" 121 "e4" 6 "b" 9 "NA" "RRT" 1950.154 "gram" "lo" 1 -1 -1 "german" "et"
"198" "NP3" 117 "e4" 6 "b" 9 "NA" "RRT" 1340.735 "gram" "lo" 1 -1 -1 "german" "et"
"199" "NP3" 126 "e4" 6 "b" 9 "NA" "RRT" 1798.955 "gram" "lo" 1 -1 -1 "german" "et"
"200" "NP3" 118 "e4" 6 "c" 9 "NA" "RRT" 1643.363 "ungram" "hi" -1 1 -1 "german" "et"
"201" "NP3" 114 "e4" 6 "c" 9 "NA" "RRT" 916.249 "ungram" "hi" -1 1 -1 "german" "et"
"202" "NP3" 110 "e4" 6 "c" 9 "NA" "RRT" 807.017 "ungram" "hi" -1 1 -1 "german" "et"
"203" "NP3" 43 "e4" 6 "c" 9 "NA" "RRT" 315.241 "ungram" "hi" -1 1 -1 "german" "et"
"204" "NP3" 36 "e4" 6 "c" 9 "NA" "RRT" 285.796 "ungram" "hi" -1 1 -1 "german" "et"
"205" "NP3" 32 "e4" 6 "c" 9 "NA" "RRT" 3232.065 "ungram" "hi" -1 1 -1 "german" "et"
"206" "NP3" 124 "e4" 6 "c" 9 "NA" "RRT" 319.431 "ungram" "hi" -1 1 -1 "german" "et"
