"subject" "participant" "id" "cond" "trial" "response" "GIVEN_ANSWER" "resp" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT" "dist" "pred" "pred.dist" "nopred.dist"
"1233" "6" "mk" 7 "c" 48 6 6 1 1 208 1 0 933 933 933 933 933 0 0 0 0 0 933 -1 1 1 -1
"1240" "6" "mk" 15 "d" 53 6 6 1 1 416 1 0 785 785 785 785 785 0 0 0 0 0 785 1 1 1 1
"1247" "6" "mk" 2 "c" 55 7 7 1 1 0 0 0 0 0 144 0 0 144 0 144 0 0 144 -1 1 0 -1
"1254" "6" "mk" 25 "b" 57 6 6 1 1 176 1 0 643 643 643 643 643 0 0 0 0 0 643 1 -1 0 0
"1261" "6" "mk" 17 "b" 59 6 6 1 1 195 1 0 1069 1069 1069 1069 1069 0 0 0 0 0 1069 1 -1 0 0
"1268" "6" "mk" 16 "c" 61 7 7 1 1 207 1 0 692 692 692 692 692 0 0 0 0 0 692 -1 1 1 -1
"1275" "6" "mk" 34 "c" 63 7 6 0 1 195 1 0 593 593 839 593 593 246 0 246 0 0 246 -1 1 0 -1
"1282" "6" "mk" 8 "b" 67 7 7 1 1 186 1 0 410 410 410 410 410 0 0 0 0 0 410 1 -1 1 0
"1289" "6" "mk" 23 "d" 70 6 6 1 1 44 1 44 44 44 44 44 44 0 0 0 0 0 44 1 1 0 1
"1296" "6" "mk" 31 "a" 72 6 6 1 1 161 1 0 453 453 453 453 453 0 0 0 0 0 453 -1 -1 -1 0
"1303" "6" "mk" 12 "c" 75 7 7 1 1 249 1 0 482 482 482 482 482 0 0 0 0 0 482 -1 1 0 -1
"1310" "6" "mk" 1 "d" 79 6 6 1 1 104 1 0 177 177 177 177 177 0 0 0 0 0 177 1 1 0 1
"1317" "6" "mk" 35 "b" 82 6 6 1 1 198 1 0 497 497 497 497 497 0 0 0 0 0 497 1 -1 0 0
"1324" "6" "mk" 29 "c" 87 6 6 1 1 140 1 0 140 140 603 140 140 463 0 463 0 0 463 -1 1 0 -1
"1331" "6" "mk" 20 "c" 89 7 7 1 1 33 1 0 444 444 659 444 444 215 0 215 0 0 215 -1 1 0 -1
"1338" "6" "mk" 13 "b" 92 6 6 1 1 197 1 0 388 388 388 388 388 0 0 0 0 0 388 1 -1 0 0
"1345" "6" "mk" 19 "d" 96 6 6 1 1 110 1 0 437 437 437 437 437 0 0 0 0 0 437 1 1 1 1
"1352" "7" "ml" 18 "c" 2 7 7 1 1 213 1 0 400 400 400 400 400 0 0 0 0 0 400 -1 1 1 -1
"1359" "7" "ml" 33 "b" 4 6 6 1 1 102 1 0 394 394 394 394 394 0 0 0 0 0 394 1 -1 1 0
"1366" "7" "ml" 22 "c" 10 7 7 1 1 41 1 0 41 41 205 41 41 164 0 164 0 0 164 -1 1 0 -1
"1373" "7" "ml" 11 "b" 14 6 6 1 1 74 1 0 396 396 396 396 396 0 0 0 0 0 396 1 -1 0 0
"1380" "7" "ml" 24 "a" 18 7 7 1 1 49 1 0 381 381 381 381 381 0 0 0 0 0 381 -1 -1 -1 0
"1387" "7" "ml" 3 "d" 20 6 6 1 1 65 1 0 358 358 358 358 358 0 0 0 0 0 358 1 1 0 1
"1394" "7" "ml" 4 "c" 23 7 7 1 1 194 1 0 397 397 397 397 397 0 0 0 0 0 397 -1 1 0 -1
"1401" "7" "ml" 10 "c" 28 7 7 1 1 102 1 0 362 362 362 362 362 0 0 0 0 0 362 -1 1 0 -1
"1408" "7" "ml" 30 "d" 31 7 7 1 1 199 1 0 499 499 499 499 499 0 0 0 0 0 499 1 1 0 1
"1415" "7" "ml" 36 "c" 33 7 7 1 1 98 1 0 313 313 313 313 313 0 0 0 0 0 313 -1 1 0 -1
"1422" "7" "ml" 28 "b" 36 7 7 1 1 208 1 0 355 355 355 355 355 0 0 0 0 0 355 1 -1 0 0
"1429" "7" "ml" 27 "c" 39 6 6 1 1 125 1 0 329 329 329 329 329 0 0 0 0 0 329 -1 1 1 -1
"1436" "7" "ml" 21 "d" 41 6 6 1 1 270 1 0 445 445 820 445 445 375 0 375 0 0 375 1 1 0 1
