"subject" "participant" "id" "cond" "resp" "roi" "dist" "pred" "pred.dist" "nopred.dist"
"1473" "6" "la" 24 "a" 1 1 -1 -1 -1 0
"1481" "6" "la" 1 "d" 1 1 1 1 0 1
"1489" "6" "la" 10 "a" 1 1 -1 -1 -1 0
"1497" "6" "la" 9 "b" 1 1 1 -1 1 0
"1505" "6" "la" 32 "b" 1 1 1 -1 1 0
"1513" "7" "ls" 11 "c" 1 1 -1 1 0 -1
"1521" "7" "ls" 5 "a" 1 1 -1 -1 -1 0
"1529" "7" "ls" 28 "d" 1 1 1 1 0 1
"1537" "7" "ls" 22 "a" 1 1 -1 -1 -1 0
"1545" "7" "ls" 4 "b" 1 1 1 -1 1 0
"1553" "7" "ls" 2 "d" 1 1 1 1 0 1
"1561" "7" "ls" 29 "d" 1 1 1 1 0 1
"1569" "7" "ls" 21 "b" 1 1 1 -1 1 0
"1577" "7" "ls" 15 "d" 1 1 1 1 0 1
"1585" "7" "ls" 30 "c" 1 1 -1 1 0 -1
"1593" "7" "ls" 25 "c" 1 1 -1 1 0 -1
"1601" "7" "ls" 27 "a" 1 1 -1 -1 -1 0
"1609" "7" "ls" 18 "a" 1 1 -1 -1 -1 0
"1617" "7" "ls" 13 "b" 1 1 1 -1 1 0
"1625" "7" "ls" 12 "b" 1 1 1 -1 1 0
"1633" "7" "ls" 23 "a" 1 1 -1 -1 -1 0
"1641" "7" "ls" 19 "d" 1 1 1 1 0 1
"1649" "7" "ls" 17 "b" 1 1 1 -1 1 0
"1657" "7" "ls" 16 "c" 1 1 -1 1 0 -1
"1665" "7" "ls" 26 "b" 1 1 1 -1 1 0
"1673" "7" "ls" 6 "d" 1 1 1 1 0 1
"1681" "7" "ls" 14 "a" 1 1 -1 -1 -1 0
"1689" "7" "ls" 3 "c" 1 1 -1 1 0 -1
"1697" "7" "ls" 7 "c" 1 1 -1 1 0 -1
"1705" "7" "ls" 8 "b" 1 1 1 -1 1 0
"1713" "7" "ls" 31 "b" 1 1 1 -1 1 0
"1721" "7" "ls" 20 "c" 1 1 -1 1 0 -1
"1729" "7" "ls" 24 "d" 0 1 1 1 0 1
"1737" "7" "ls" 1 "c" 1 1 -1 1 0 -1
