"subject" "id" "cond" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT"
"174" "aa" 24 "c" 6 159 1 0 159 1828 1828 2031 3193 1669 1669 0 1 1 1669
"175" "aa" 24 "c" 7 0 0 0 0 0 0 0 3193 0 0 0 0 0 0
"176" "aa" 24 "c" 8 0 0 0 0 0 0 0 3193 0 0 0 0 0 0
"177" "aa" 25 "b" 1 181 1 0 567 567 567 567 567 0 0 0 0 0 567
"178" "aa" 25 "b" 2 162 1 162 162 162 162 162 729 0 0 0 0 0 162
"179" "aa" 25 "b" 3 180 1 0 905 905 905 905 1634 0 0 0 0 0 905
"180" "aa" 25 "b" 4 250 1 250 250 250 250 250 1884 0 0 0 0 0 250
"181" "aa" 25 "b" 5 192 1 192 192 192 192 192 2076 0 0 0 0 0 192
"182" "aa" 25 "b" 6 0 0 0 0 0 0 0 2076 0 0 0 0 0 0
"183" "aa" 25 "b" 7 285 1 0 1509 1509 1509 1509 3585 0 0 0 0 0 1509
"184" "aa" 25 "b" 8 0 0 0 0 0 0 0 3585 0 0 0 0 0 0
"185" "aa" 27 "a" 1 195 1 0 369 369 369 369 369 0 0 0 0 0 369
"186" "aa" 27 "a" 2 223 1 223 223 223 223 223 592 0 0 0 0 0 223
"187" "aa" 27 "a" 3 190 1 190 190 190 190 190 782 0 0 0 0 0 190
"188" "aa" 27 "a" 4 230 1 230 230 230 230 230 1012 0 0 0 0 0 230
"189" "aa" 27 "a" 5 0 0 0 0 0 0 0 1012 0 0 0 0 0 0
"190" "aa" 27 "a" 6 326 1 0 1769 1769 1769 1769 2781 0 0 0 0 0 1769
"191" "aa" 27 "a" 7 0 0 0 0 0 0 0 2781 0 0 0 0 0 0
"192" "aa" 27 "a" 8 0 0 0 0 0 0 0 2781 0 0 0 0 0 0
"193" "aa" 28 "d" 1 189 1 0 642 642 642 642 642 0 0 0 0 0 642
"194" "aa" 28 "d" 2 242 1 0 308 308 308 308 950 0 0 0 0 0 308
"195" "aa" 28 "d" 3 212 1 0 872 872 872 872 1822 0 0 0 0 0 872
"196" "aa" 28 "d" 4 322 1 322 322 322 322 322 2144 0 0 0 0 0 322
"197" "aa" 28 "d" 5 415 1 415 415 415 415 415 2559 0 0 0 0 0 415
"198" "aa" 28 "d" 6 0 0 0 0 0 0 0 2559 0 0 0 0 0 0
"199" "aa" 28 "d" 7 245 1 0 1946 1946 1946 1946 4505 0 0 0 0 0 1946
"200" "aa" 28 "d" 8 0 0 0 0 0 0 0 4505 0 0 0 0 0 0
"201" "aa" 29 "c" 1 195 1 0 433 433 433 433 433 0 0 0 0 0 433
"202" "aa" 29 "c" 2 154 1 0 790 790 790 790 1223 0 0 0 0 0 790
"203" "aa" 29 "c" 3 249 1 249 249 249 249 249 1472 0 0 0 0 0 249
"204" "aa" 29 "c" 4 0 0 0 0 0 0 0 1472 0 0 0 0 0 0
"205" "aa" 29 "c" 5 0 0 0 0 0 0 0 1472 0 0 0 0 0 0
"206" "aa" 29 "c" 6 282 1 0 2310 2310 2310 2310 3782 0 0 0 0 0 2310
"207" "aa" 29 "c" 7 0 0 0 0 0 0 0 3782 0 0 0 0 0 0
"208" "aa" 29 "c" 8 0 0 0 0 0 0 0 3782 0 0 0 0 0 0
"209" "aa" 30 "b" 1 196 1 0 376 376 376 376 376 0 0 0 0 0 376
"210" "aa" 30 "b" 2 170 1 170 170 170 170 170 546 0 0 0 0 0 170
"211" "aa" 30 "b" 3 219 1 0 1070 1070 1070 1070 1616 0 0 0 0 0 1070
"212" "aa" 30 "b" 4 334 1 0 783 783 783 783 2399 0 0 0 0 0 783
"213" "aa" 30 "b" 5 182 1 182 182 182 182 182 2581 0 0 0 0 0 182
"214" "aa" 30 "b" 6 0 0 0 0 0 0 0 2581 0 0 0 0 0 0
"215" "aa" 30 "b" 7 209 1 0 2725 2725 2725 2725 5306 0 0 0 0 0 2725
"216" "aa" 30 "b" 8 0 0 0 0 0 0 0 5306 0 0 0 0 0 0
"217" "aa" 31 "a" 1 194 1 0 638 638 638 638 638 0 0 0 0 0 638
"218" "aa" 31 "a" 2 146 1 146 146 146 146 146 784 0 0 0 0 0 146
"219" "aa" 31 "a" 3 233 1 0 452 452 452 452 1236 0 0 0 0 0 452
"220" "aa" 31 "a" 4 267 1 267 267 267 267 267 1503 0 0 0 0 0 267
"221" "aa" 31 "a" 5 244 1 244 244 244 244 244 1747 0 0 0 0 0 244
"222" "aa" 31 "a" 6 186 1 0 1592 1592 1592 1592 3339 0 0 0 0 0 1592
"223" "aa" 31 "a" 7 0 0 0 0 0 0 0 3339 0 0 0 0 0 0
"224" "aa" 31 "a" 8 0 0 0 0 0 0 0 3339 0 0 0 0 0 0
"225" "aa" 33 "d" 1 417 1 417 417 417 417 417 417 0 0 0 0 0 417
"226" "aa" 33 "d" 2 221 1 221 221 221 221 221 638 0 0 0 0 0 221
"227" "aa" 33 "d" 3 519 1 0 1196 1196 1196 1196 1834 0 0 0 0 0 1196
"228" "aa" 33 "d" 4 326 1 0 529 529 710 529 2363 181 0 181 0 0 181
"229" "aa" 33 "d" 5 259 1 0 556 785 785 966 3329 229 229 0 1 1 229
"230" "aa" 33 "d" 6 0 0 0 0 0 0 0 3329 0 0 0 0 0 0
