subject, item, itempos, targetpos, condition, proficiency, V1, V2, V3, NP1, NP2, PP1, PP2, PP3
de38, i16, 48, 5, 1, 11, 5.831882, 6.854355, 5.755742, 6.775366, 6.628041, 6.095825, 5.918894, 6.527958
de38, i9, 53, 6, -1, 11, 5.805135, NaN, 6.455199, 6.040255, 6.182085, 6.562444, 5.918894, 6.001415
de38, i14, 59, 6, 1, 11, 6.793466, 5.897154, 6.738152, 6.165418, 6.232448, 6.095825, 6.113682, 6.887553
de38, i10, 62, 7, 1, 11, 6.903747, 5.897154, 7.163947, 6.023448, 6.480045, 6.246107, 6.095825, 6.040255
de38, i15, 64, 8, -1, 11, 6.738152, NaN, 5.918894, 6.263398, 6.276643, 5.942799, 5.780744, 6.165418
de38, i5, 66, 8, -1, 11, 6.232448, NaN, 6.442540, 6.023448, 5.676754, 6.148468, 5.805135, 5.963579
de39, i9, 3, 0, 1, 13, 6.165418, 6.059123, 6.001415, 6.198479, 6.232448, 6.021023, 5.855072, 6.021023
de39, i11, 7, 1, 1, 13, 6.214608, 6.728629, 5.981414, 6.308098, 5.852202, 6.291569, 6.261492, 5.918894
de39, i12, 13, 2, -1, 13, 6.059123, NaN, 6.040255, 6.216606, 6.335054, 6.023448, 5.429346, 6.198479
de39, i7, 17, 2, 1, 13, 6.059123, 6.291569, 6.416732, 6.095825, 5.828946, 5.703782, 5.703782, 5.730100
de39, i13, 20, 3, 1, 13, 6.077642, 6.431331, 6.950815, 6.077642, 6.871091, 5.940171, 5.963579, 6.679599
de39, i2, 25, 4, -1, 13, 6.023448, NaN, 5.852202, 5.942799, 6.335054, 5.983936, 5.648974, 6.306275
de39, i8, 30, 4, -1, 13, 6.131226, NaN, 5.897154, 6.042633, 5.897154, 5.855072, 5.899897, 6.527958
de39, i4, 32, 4, -1, 13, 5.783825, NaN, 5.805135, 5.940171, 5.897154, 6.230481, 5.780744, 6.077642
de39, i6, 36, 4, -1, 13, 6.003887, NaN, 5.805135, 5.940171, 5.852202, 5.961005, 5.828946, 5.899897
de39, i10, 41, 4, -1, 13, 6.133398, NaN, 6.261492, 6.079933, 5.961005, 5.940171, 5.703782, 5.783825
de39, i5, 47, 4, 1, 13, 5.918894, 6.276643, 6.638568, 6.429719, 6.040255, 6.059123, 5.805135, 6.113682
de39, i15, 49, 5, 1, 13, 5.780744, 6.335054, 7.066467, 6.442540, 6.442540, 5.981414, 5.852202, 6.529419
de39, i1, 51, 6, 1, 13, 5.963579, 5.981414, 5.961005, 6.669498, 6.003887, 6.320768, 6.133398, 5.981414
de39, i14, 55, 7, -1, 13, 6.021023, NaN, 6.021023, 5.897154, 5.897154, 5.755742, 5.676754, 5.805135
de39, i16, 58, 7, -1, 13, 5.780744, NaN, 5.780744, 5.805135, 5.828946, 5.828946, 5.899897, 6.001415
de39, i3, 66, 7, 1, 13, 5.874931, 5.852202, 5.755742, 5.897154, 5.874931, 6.021023, 5.828946, 5.805135
de4, i12, 3, 0, 1, 11, 6.391917, 6.562444, 7.242082, 6.552508, 7.549609, 6.747587, 6.951772, 7.395108
de4, i15, 7, 1, -1, 11, 7.607381, NaN, 6.966967, 6.638568, 7.730175, 7.106606, 6.729824, 7.765145
de4, i4, 11, 1, 1, 11, 8.506739, 6.739337, 6.595781, 6.966967, 6.628041, 6.390241, 6.456770, 7.291656
de4, i13, 14, 2, -1, 11, 7.429521, NaN, 8.283241, 6.077642, 6.261492, 7.119636, 6.455199, 7.484930
de4, i7, 23, 2, -1, 11, 8.137396, NaN, 7.433667, 6.403574, 7.206377, 7.152269, 6.021023, 7.653969
de4, i5, 29, 2, -1, 11, 8.811056, NaN, 6.995766, 6.095825, 6.429719, 6.150603, 6.747587, 6.838405
de4, i10, 31, 2, 1, 11, 7.489412, 6.919684, 7.405496, 6.131226, 7.236339, 6.775366, 6.376727, 7.843064
de4, i3, 33, 3, -1, 11, 6.376727, NaN, 8.002694, 6.291569, 6.912743, 7.638198, 6.391917, 6.739337
de4, i9, 38, 3, -1, 11, 6.529419, NaN, 7.258412, 6.618739, 6.516193, 6.115892, 7.275172, 7.419980
de4, i6, 46, 3, 1, 11, 7.723562, 6.493754, 7.059618, 6.729824, 6.378426, 6.021023, 5.963579, 6.775366
de4, i16, 48, 4, 1, 11, 6.059123, 7.385231, 6.182085, 7.524021, 6.306275, 6.115892, 6.098074, 7.961370
de4, i2, 50, 5, 1, 11, 8.155936, 6.608001, 7.740664, 6.001415, 7.163947, 6.045005, 5.921578, 7.126087
de4, i14, 55, 6, 1, 11, 7.409742, 6.442540, 7.087574, 5.940171, 7.776115, 6.165418, 5.940171, 7.438384
de4, i11, 60, 7, -1, 11, 6.919684, NaN, 8.353497, 6.480045, 7.691200, 6.098074, 6.480045, 8.270781
de4, i8, 64, 7, 1, 11, 7.032624, 7.470794, 7.344719, 5.940171, 6.291569, 6.617403, 6.003887, 7.252762
de4, i1, 67, 8, -1, 11, 7.094235, NaN, 7.157735, 6.214608, 6.871091, 6.575076, 6.308098, 7.927324
de40, i13, 3, 0, -1, 5, 6.669498, NaN, 6.862758, 6.278521, 7.188413, 6.232448, 6.113682, 6.756932
de40, i8, 7, 0, 1, 5, 6.562444, 7.017506, 6.680855, 6.541030, 6.638568, 6.335054, 6.182085, 6.935370
de40, i6, 13, 1, 1, 5, 6.709304, 6.200509, 6.551080, 6.492240, 6.606650, 6.306275, 6.165418, 6.095825
de40, i15, 18, 2, -1, 5, 6.584791, NaN, 6.829794, 6.335054, 6.480045, 6.150603, 6.320768, 6.595781
de40, i11, 21, 2, -1, 5, 6.966024, NaN, 6.766192, 6.261492, 7.073270, 6.246107, 6.148468, 6.659294
de40, i1, 32, 2, -1, 5, 7.798113, NaN, 7.570443, 6.184149, 7.646354, 6.335054, 6.214608, 6.862758
de40, i3, 34, 2, -1, 5, 6.480045, NaN, 6.669498, 6.418365, 6.958448, 6.551080, 6.403574, 7.145196
de40, i4, 39, 2, 1, 5, 6.719013, 6.871091, 7.334329, 6.516193, 6.529419, 6.306275, 5.918894, 6.376727
de40, i10, 44, 3, 1, 5, 6.551080, 7.645876, 6.919684, 6.306275, 7.484930, 6.320768, 6.115892, 6.480045
de40, i5, 47, 4, -1, 5, 6.364751, NaN, 6.680855, 7.138867, 7.622664, 6.276643, 6.148468, 6.363028
de40, i14, 49, 4, 1, 5, 6.131226, 6.828712, 6.784457, 6.214608, 6.562444, 6.846943, 6.182085, 7.649693
de40, i7, 53, 5, -1, 5, 7.313887, NaN, 7.409742, 6.347389, 6.880384, 6.246107, 6.113682, 6.455199
de40, i9, 57, 5, -1, 5, 7.039660, NaN, 6.802395, 6.335054, 6.349139, 6.232448, 6.040255, 6.291569
de40, i16, 63, 5, 1, 5, 6.336826, 6.845880, 6.230481, 6.306275, 6.700731, 6.059123, 5.981414, 6.562444
de40, i2, 67, 6, 1, 5, 7.188413, 6.617403, 6.638568, 6.261492, 6.845880, 6.198479, 5.981414, 7.045777
de40, i12, 71, 7, 1, 5, 8.340217, 6.935370, 6.504288, 6.291569, 6.444131, 6.113682, 6.042633, 7.073270
de41, i2, 2, 0, -1, 13, 6.003887, NaN, 6.131226, 5.983936, 6.516193, 6.095825, 5.961005, 6.276643
