subject, item, itempos, targetpos, condition, proficiency, V1, V2, V3, NP1, NP2, PP1, PP2, PP3
nl23, i12, 49, 4, -1, 29, 5.726848, NaN, 5.768321, 5.966147, 5.820083, 5.888878, 5.771441, 5.899897
nl23, i8, 54, 4, -1, 29, 5.817111, NaN, 6.259581, 5.874931, 5.793014, 6.255750, 5.634790, 5.961005
nl23, i5, 58, 4, 1, 29, 5.902633, 5.958425, 6.113682, 6.003887, 5.700444, 6.008813, 5.529429, 6.249975
nl23, i9, 62, 5, 1, 29, 5.587249, 5.700444, 5.739793, 5.777652, 5.786897, 6.052089, 5.966147, 5.880533
nl23, i1, 65, 6, 1, 29, 5.768321, 5.826000, 5.910797, 5.707110, 5.774552, 5.768321, 5.634790, 5.802118
nl23, i15, 69, 7, 1, 29, 5.834811, 5.902633, 5.973810, 5.942799, 5.869297, 5.899897, 5.749393, 5.852202
nl24, i15, 2, 0, -1, 27, 8.327968, NaN, 8.453827, 6.955593, 7.191429, 6.838405, 6.661855, 6.964136
nl24, i13, 7, 0, -1, 27, 8.355615, NaN, 6.970730, 7.578145, 7.189922, 7.075809, 7.373374, 6.626718
nl24, i10, 11, 0, 1, 27, 8.076826, 7.392032, 7.287561, 6.614726, 8.058644, 6.597146, 6.632002, 6.823286
nl24, i6, 13, 1, 1, 27, 8.536211, 6.431331, 7.298445, 6.395262, 7.697121, 6.291569, 6.107023, 6.269096
nl24, i3, 16, 2, -1, 27, 7.560080, NaN, 6.516193, 6.444131, 7.509335, 6.403574, 6.228511, 6.846943
nl24, i4, 20, 2, 1, 27, 8.330864, 6.894670, 6.996681, 7.431892, 6.398595, 6.182085, 5.971262, 6.529419
nl24, i8, 23, 3, 1, 27, 7.903227, 7.231287, 6.605298, 6.969791, 6.285998, 6.529419, 6.242223, 6.369901
nl24, i12, 30, 4, 1, 27, 6.352629, 6.701960, 6.413459, 6.118097, 7.106606, 6.535241, 6.135565, 7.508787
nl24, i9, 33, 5, -1, 27, 6.383507, NaN, 6.602588, 6.380123, 6.383507, 6.476972, 6.626718, 6.075346
nl24, i14, 37, 5, 1, 27, 6.336826, 6.838405, 6.298949, 7.544332, 7.189922, 7.196687, 7.104965, 6.610696
nl24, i1, 43, 6, -1, 27, 7.448916, NaN, 8.004032, 6.236370, 6.107023, 6.317165, 6.098074, 7.761745
nl24, i11, 47, 6, -1, 27, 6.300786, NaN, 6.364751, 7.095064, 7.082549, 6.261492, 6.008813, 6.545350
nl24, i7, 55, 6, -1, 27, 6.100319, NaN, 6.563856, 6.453625, 7.247793, 6.973543, 6.173786, 7.710653
nl24, i2, 63, 6, 1, 27, 6.381816, 6.941190, 7.360740, 6.364751, 6.601230, 6.317165, 5.998937, 7.375882
nl24, i16, 67, 7, 1, 27, 5.866468, 6.257668, 6.035481, 6.025866, 6.098074, 6.274762, 5.968708, 6.040255
nl24, i5, 69, 8, -1, 27, 6.169611, NaN, 6.942157, 6.093570, 6.835185, 6.673298, 6.084499, 6.434547
nl25, i16, 5, 0, -1, 29, 6.079933, NaN, 6.265301, 6.558198, 5.857933, 5.849325, 5.755742, 6.030685
nl25, i5, 8, 0, 1, 29, 6.025866, 7.025538, 7.718241, 6.003887, 6.049733, 6.142037, 5.937536, 6.220590
nl25, i3, 14, 1, 1, 29, 6.598509, 7.288244, 8.113726, 7.120444, 5.948035, 6.040255, 5.752573, 5.948035
nl25, i10, 17, 2, -1, 29, 7.070724, NaN, 7.661056, 6.796824, 6.590301, 6.558198, 6.124683, 6.492240
nl25, i8, 19, 2, -1, 29, 8.272826, NaN, 6.423247, 6.100319, 5.758902, 6.100319, 5.814131, 5.572154
nl25, i2, 24, 2, -1, 29, 6.398595, NaN, 6.364751, 6.122493, 7.992945, 5.948035, 5.703782, 5.872118
nl25, i13, 29, 2, 1, 29, 8.290794, 6.440947, 6.463029, 7.348588, 6.498282, 6.349139, 5.749393, 5.926926
nl25, i6, 33, 3, -1, 29, 6.498282, NaN, 6.464588, 5.958425, 6.216606, 6.033086, 5.837730, 5.799093
nl25, i15, 38, 3, 1, 29, 6.501290, 9.191769, 5.805135, 7.266129, 7.589336, 5.934894, 5.710427, 5.605802
nl25, i9, 42, 4, 1, 29, 5.720312, 6.614726, 6.124683, 6.033086, 5.707110, 5.932245, 5.616771, 5.572154
nl25, i11, 48, 5, 1, 29, 7.731053, 7.772332, 8.434898, 6.490724, 5.811141, 5.958425, 5.545177, 5.855072
nl25, i12, 55, 6, -1, 29, 5.888878, NaN, 7.892452, 6.318968, 6.234411, 6.066108, 6.079933, 6.679599
nl25, i7, 58, 6, 1, 29, 5.926926, 5.568345, 5.697093, 6.154858, 6.302619, 5.857933, 5.568345, 5.273000
nl25, i14, 62, 7, -1, 29, 6.236370, NaN, 5.762051, 5.602119, 5.837730, 6.182085, 5.602119, 5.493061
nl25, i1, 64, 7, 1, 29, 6.131226, 5.968708, 5.814131, 5.888878, 5.826000, 6.270988, 5.669881, 5.605802
nl25, i4, 71, 8, -1, 29, 5.645447, NaN, 5.560682, 5.659482, 5.780744, 5.720312, 5.826000, 5.505332
nl26, i11, 5, 0, -1, 27, 8.225235, NaN, 8.269245, 6.458338, 6.338594, 6.265301, 5.986452, 6.712956
nl26, i7, 8, 0, -1, 27, 6.641182, NaN, 8.277412, 6.419995, 7.439559, 6.495266, 5.945421, 6.682109
nl26, i14, 11, 0, 1, 27, 9.130756, 6.975414, 7.599902, 7.476472, 6.338594, 5.986452, 5.834811, 6.380123
nl26, i9, 13, 1, -1, 27, 7.054450, NaN, 7.498870, 6.419995, 8.228711, 6.338594, 5.986452, 6.324359
nl26, i1, 17, 1, -1, 27, 7.554859, NaN, 7.599902, 5.902633, 7.550661, 6.218600, 8.561210, 6.740519
nl26, i15, 19, 1, -1, 27, 6.118097, NaN, 7.391415, 5.968708, 6.324359, 6.324359, 5.786897, 6.338594
nl26, i13, 25, 1, -1, 27, 5.857933, NaN, 7.953670, 6.118097, 6.530878, 5.945421, 5.765191, 6.338594
nl26, i8, 27, 1, 1, 27, 6.873164, 6.630683, 7.695303, 6.047372, 7.287561, 5.966147, 6.249975, 5.945421
nl26, i4, 31, 2, 1, 27, 5.834811, 7.376508, 7.916443, 6.338594, 6.280396, 6.063785, 5.786897, 5.902633
nl26, i16, 36, 3, 1, 27, 5.811141, 7.146772, 5.710427, 7.165493, 6.768493, 6.169611, 5.786897, 6.135565
nl26, i5, 46, 4, -1, 27, 8.554682, NaN, 6.366470, 7.661998, 6.234411, 6.082219, 7.160069, 5.505332
nl26, i12, 49, 4, 1, 27, 5.786897, 6.470800, 7.026427, 8.845921, 6.576470, 6.519147, 6.458338, 6.672033
