"subj" "item" "cond" "pos" "resp" "rt" "roi"
"954" 3 28 "b" "4" "-" 365 "precrit"
"955" 3 28 "b" "5" "-" 279 "precrit"
"956" 3 28 "b" "6" "-" 254 "crit"
"957" 3 28 "b" "7" "-" 294 "postcrit"
"958" 3 28 "b" "8" "-" 248 "post"
"959" 3 28 "b" "9" "-" 220 "post"
"960" 3 28 "b" "10" "-" 228 "post"
"961" 3 28 "b" "?" "1" 2891 NA
"1046" 3 26 "d" "0" "-" 390 "predep"
"1047" 3 26 "d" "1" "-" 411 "dep"
"1048" 3 26 "d" "2" "-" 411 "precrit"
"1049" 3 26 "d" "3" "-" 396 "precrit"
"1050" 3 26 "d" "4" "-" 403 "precrit"
"1051" 3 26 "d" "5" "-" 338 "precrit"
"1052" 3 26 "d" "6" "-" 474 "crit"
"1053" 3 26 "d" "7" "-" 386 "postcrit"
"1054" 3 26 "d" "8" "-" 326 "post"
"1055" 3 26 "d" "9" "-" 309 "post"
"1056" 3 26 "d" "10" "-" 380 "post"
"1057" 3 26 "d" "?" "1" 2051 NA
"1068" 3 17 "c" "0" "-" 400 "predep"
"1069" 3 17 "c" "1" "-" 401 "dep"
"1070" 3 17 "c" "2" "-" 459 "precrit"
"1071" 3 17 "c" "3" "-" 373 "precrit"
"1072" 3 17 "c" "4" "-" 445 "crit"
"1073" 3 17 "c" "5" "-" 378 "postcrit"
"1074" 3 17 "c" "6" "-" 372 "post"
"1075" 3 17 "c" "7" "-" 355 "post"
"1076" 3 17 "c" "8" "-" 357 "post"
"1077" 3 17 "c" "9" "-" 369 "post"
"1078" 3 17 "c" "?" "1" 2998 NA
"1136" 3 10 "d" "0" "-" 95 "predep"
"1137" 3 10 "d" "1" "-" 353 "dep"
"1138" 3 10 "d" "2" "-" 539 "precrit"
"1139" 3 10 "d" "3" "-" 440 "precrit"
"1140" 3 10 "d" "4" "-" 336 "precrit"
"1141" 3 10 "d" "5" "-" 477 "precrit"
"1142" 3 10 "d" "6" "-" 329 "crit"
"1143" 3 10 "d" "7" "-" 408 "postcrit"
"1144" 3 10 "d" "8" "-" 360 "post"
"1145" 3 10 "d" "9" "-" 337 "post"
"1146" 3 10 "d" "10" "-" 328 "post"
"1147" 3 10 "d" "11" "-" 368 "post"
"1148" 3 10 "d" "?" "1" 2483 NA
"1159" 3 11 "a" "0" "-" 369 "predep"
"1160" 3 11 "a" "1" "-" 415 "dep"
"1161" 3 11 "a" "2" "-" 339 "precrit"
"1162" 3 11 "a" "3" "-" 311 "precrit"
"1163" 3 11 "a" "4" "-" 344 "crit"
"1164" 3 11 "a" "5" "-" 366 "postcrit"
"1165" 3 11 "a" "6" "-" 332 "post"
"1166" 3 11 "a" "7" "-" 315 "post"
"1167" 3 11 "a" "8" "-" 350 "post"
"1168" 3 11 "a" "9" "-" 338 "post"
"1169" 3 11 "a" "?" "1" 2748 NA
"1180" 3 19 "a" "0" "-" 181 "predep"
"1181" 3 19 "a" "1" "-" 546 "dep"
"1182" 3 19 "a" "2" "-" 449 "precrit"
"1183" 3 19 "a" "3" "-" 379 "precrit"
"1184" 3 19 "a" "4" "-" 356 "crit"
"1185" 3 19 "a" "5" "-" 323 "postcrit"
"1186" 3 19 "a" "6" "-" 327 "post"
"1187" 3 19 "a" "7" "-" 403 "post"
"1188" 3 19 "a" "?" "1" 2662 NA
"1199" 3 6 "d" "0" "-" 218 "predep"
"1200" 3 6 "d" "1" "-" 374 "dep"
"1201" 3 6 "d" "2" "-" 410 "precrit"
"1202" 3 6 "d" "3" "-" 332 "precrit"
"1203" 3 6 "d" "4" "-" 343 "precrit"
"1204" 3 6 "d" "5" "-" 384 "precrit"
"1205" 3 6 "d" "6" "-" 351 "precrit"
"1206" 3 6 "d" "7" "-" 382 "crit"
"1207" 3 6 "d" "8" "-" 398 "postcrit"
"1208" 3 6 "d" "9" "-" 340 "post"
"1209" 3 6 "d" "10" "-" 336 "post"
"1210" 3 6 "d" "11" "-" 390 "post"
"1211" 3 6 "d" "?" "1" 1698 NA
"1273" 3 29 "c" "0" "-" 370 "predep"
"1274" 3 29 "c" "1" "-" 370 "dep"
"1275" 3 29 "c" "2" "-" 436 "precrit"
"1276" 3 29 "c" "3" "-" 373 "precrit"
"1277" 3 29 "c" "4" "-" 380 "crit"
"1278" 3 29 "c" "5" "-" 393 "postcrit"
"1279" 3 29 "c" "6" "-" 369 "post"
"1280" 3 29 "c" "7" "-" 381 "post"
"1281" 3 29 "c" "8" "-" 407 "post"
"1282" 3 29 "c" "9" "-" 354 "post"
"1283" 3 29 "c" "?" "1" 1697 NA
"1320" 3 23 "a" "0" "-" 423 "predep"
"1321" 3 23 "a" "1" "-" 517 "dep"
"1322" 3 23 "a" "2" "-" 377 "precrit"
"1323" 3 23 "a" "3" "-" 395 "precrit"
"1324" 3 23 "a" "4" "-" 365 "crit"
"1325" 3 23 "a" "5" "-" 368 "postcrit"
