"subj" "item" "cond" "pos" "resp" "rt" "roi"
"212" 4 3 "b" "5" "-" 520 "precrit"
"213" 4 3 "b" "6" "-" 525 "precrit"
"214" 4 3 "b" "7" "-" 519 "precrit"
"215" 4 3 "b" "8" "-" 581 "crit"
"216" 4 3 "b" "9" "-" 633 "postcrit"
"217" 4 3 "b" "10" "-" 483 "post"
"218" 4 3 "b" "11" "-" 529 "post"
"219" 4 3 "b" "12" "-" 631 "post"
"220" 4 3 "b" "13" "-" 557 "post"
"221" 4 3 "b" "14" "-" 483 "post"
"222" 4 3 "b" "?" "1" 2773 NA
"277" 4 7 "b" "0" "-" 608 "predep"
"278" 4 7 "b" "1" "-" 821 "dep"
"279" 4 7 "b" "2" "-" 695 "precrit"
"280" 4 7 "b" "3" "-" 750 "precrit"
"281" 4 7 "b" "4" "-" 1112 "precrit"
"282" 4 7 "b" "5" "-" 844 "precrit"
"283" 4 7 "b" "6" "-" 562 "precrit"
"284" 4 7 "b" "7" "-" 653 "precrit"
"285" 4 7 "b" "8" "-" 1171 "crit"
"286" 4 7 "b" "9" "-" 530 "postcrit"
"287" 4 7 "b" "10" "-" 668 "post"
"288" 4 7 "b" "11" "-" 475 "post"
"289" 4 7 "b" "12" "-" 542 "post"
"290" 4 7 "b" "13" "-" 698 "post"
"291" 4 7 "b" "14" "-" 895 "post"
"292" 4 7 "b" "?" "1" 4242 NA
"320" 4 36 "c" "0" "-" 448 "predep"
"321" 4 36 "c" "1" "-" 1019 "dep"
"322" 4 36 "c" "2" "-" 639 "precrit"
"323" 4 36 "c" "3" "-" 796 "precrit"
"324" 4 36 "c" "4" "-" 663 "crit"
"325" 4 36 "c" "5" "-" 478 "postcrit"
"326" 4 36 "c" "6" "-" 431 "post"
"327" 4 36 "c" "7" "-" 585 "post"
"328" 4 36 "c" "8" "-" 445 "post"
"329" 4 36 "c" "9" "-" 523 "post"
"330" 4 36 "c" "?" "1" 2309 NA
"364" 4 16 "c" "0" "-" 396 "predep"
"365" 4 16 "c" "1" "-" 688 "dep"
"366" 4 16 "c" "2" "-" 549 "precrit"
"367" 4 16 "c" "3" "-" 725 "precrit"
"368" 4 16 "c" "4" "-" 449 "crit"
"369" 4 16 "c" "5" "-" 539 "postcrit"
"370" 4 16 "c" "6" "-" 518 "post"
"371" 4 16 "c" "7" "-" 979 "post"
"372" 4 16 "c" "8" "-" 639 "post"
"373" 4 16 "c" "9" "-" 674 "post"
"374" 4 16 "c" "?" "1" 1539 NA
"425" 4 14 "a" "0" "-" 577 "predep"
"426" 4 14 "a" "1" "-" 792 "dep"
"427" 4 14 "a" "2" "-" 982 "precrit"
"428" 4 14 "a" "3" "-" 475 "precrit"
"429" 4 14 "a" "4" "-" 418 "crit"
"430" 4 14 "a" "5" "-" 427 "postcrit"
"431" 4 14 "a" "6" "-" 533 "post"
"432" 4 14 "a" "7" "-" 579 "post"
"433" 4 14 "a" "8" "-" 581 "post"
"434" 4 14 "a" "9" "-" 554 "post"
"435" 4 14 "a" "10" "-" 736 "post"
"436" 4 14 "a" "11" "-" 451 "post"
"437" 4 14 "a" "?" "1" 2902 NA
"498" 4 31 "b" "0" "-" 378 "predep"
"499" 4 31 "b" "1" "-" 1417 "dep"
"500" 4 31 "b" "2" "-" 485 "precrit"
"501" 4 31 "b" "3" "-" 586 "precrit"
"502" 4 31 "b" "4" "-" 536 "precrit"
"503" 4 31 "b" "5" "-" 604 "precrit"
"504" 4 31 "b" "6" "-" 437 "precrit"
"505" 4 31 "b" "7" "-" 489 "precrit"
"506" 4 31 "b" "8" "-" 439 "crit"
"507" 4 31 "b" "9" "-" 454 "postcrit"
"508" 4 31 "b" "10" "-" 439 "post"
"509" 4 31 "b" "11" "-" 403 "post"
"510" 4 31 "b" "12" "-" 422 "post"
"511" 4 31 "b" "?" "1" 1932 NA
"541" 4 34 "a" "0" "-" 508 "predep"
"542" 4 34 "a" "1" "-" 663 "dep"
"543" 4 34 "a" "2" "-" 530 "precrit"
"544" 4 34 "a" "3" "-" 509 "precrit"
"545" 4 34 "a" "4" "-" 560 "crit"
"546" 4 34 "a" "5" "-" 714 "postcrit"
"547" 4 34 "a" "6" "-" 583 "post"
"548" 4 34 "a" "7" "-" 433 "post"
"549" 4 34 "a" "8" "-" 426 "post"
"550" 4 34 "a" "9" "-" 409 "post"
"551" 4 34 "a" "10" "-" 474 "post"
"552" 4 34 "a" "?" "1" 2366 NA
"593" 4 13 "d" "0" "-" 451 "predep"
"594" 4 13 "d" "1" "-" 1256 "dep"
"595" 4 13 "d" "2" "-" 456 "precrit"
"596" 4 13 "d" "3" "-" 589 "precrit"
"597" 4 13 "d" "4" "-" 537 "precrit"
"598" 4 13 "d" "5" "-" 553 "precrit"
"599" 4 13 "d" "6" "-" 421 "precrit"
"600" 4 13 "d" "7" "-" 554 "precrit"
"601" 4 13 "d" "8" "-" 445 "precrit"
"602" 4 13 "d" "9" "-" 483 "crit"
"603" 4 13 "d" "10" "-" 450 "postcrit"
"604" 4 13 "d" "11" "-" 427 "post"
"605" 4 13 "d" "12" "-" 469 "post"
"606" 4 13 "d" "13" "-" 441 "post"
"607" 4 13 "d" "?" "1" 4193 NA
"652" 4 9 "d" "0" "-" 397 "predep"
"653" 4 9 "d" "1" "-" 573 "dep"
"654" 4 9 "d" "2" "-" 512 "precrit"
"655" 4 9 "d" "3" "-" 453 "precrit"
"656" 4 9 "d" "4" "-" 420 "precrit"
"657" 4 9 "d" "5" "-" 639 "precrit"
"658" 4 9 "d" "6" "-" 475 "precrit"
"659" 4 9 "d" "7" "-" 1003 "precrit"
"660" 4 9 "d" "8" "-" 532 "crit"
"661" 4 9 "d" "9" "-" 682 "postcrit"
"662" 4 9 "d" "10" "-" 491 "post"
"663" 4 9 "d" "11" "-" 651 "post"
"664" 4 9 "d" "12" "-" 442 "post"
"665" 4 9 "d" "13" "-" 761 "post"
"666" 4 9 "d" "?" "1" 2809 NA
"683" 4 12 "c" "0" "-" 776 "predep"
"684" 4 12 "c" "1" "-" 684 "dep"
"685" 4 12 "c" "2" "-" 619 "precrit"
"686" 4 12 "c" "3" "-" 594 "precrit"
"687" 4 12 "c" "4" "-" 553 "crit"
"688" 4 12 "c" "5" "-" 422 "postcrit"
"689" 4 12 "c" "6" "-" 468 "post"
"690" 4 12 "c" "7" "-" 444 "post"
"691" 4 12 "c" "8" "-" 427 "post"
"692" 4 12 "c" "9" "-" 489 "post"
"693" 4 12 "c" "?" "1" 4090 NA
"724" 4 10 "a" "0" "-" 603 "predep"
"725" 4 10 "a" "1" "-" 717 "dep"
"726" 4 10 "a" "2" "-" 462 "precrit"
"727" 4 10 "a" "3" "-" 640 "precrit"
"728" 4 10 "a" "4" "-" 515 "crit"
"729" 4 10 "a" "5" "-" 484 "postcrit"
"730" 4 10 "a" "6" "-" 574 "post"
"731" 4 10 "a" "7" "-" 904 "post"
"732" 4 10 "a" "8" "-" 708 "post"
"733" 4 10 "a" "?" "1" 2005 NA
"753" 4 19 "b" "0" "-" 510 "predep"
"754" 4 19 "b" "1" "-" 928 "dep"
"755" 4 19 "b" "2" "-" 705 "precrit"
"756" 4 19 "b" "3" "-" 1159 "precrit"
"757" 4 19 "b" "4" "-" 516 "precrit"
"758" 4 19 "b" "5" "-" 576 "precrit"
"759" 4 19 "b" "6" "-" 694 "precrit"
"760" 4 19 "b" "7" "-" 443 "precrit"
"761" 4 19 "b" "8" "-" 416 "precrit"
"762" 4 19 "b" "9" "-" 440 "crit"
"763" 4 19 "b" "10" "-" 481 "postcrit"
"764" 4 19 "b" "11" "-" 397 "post"
"765" 4 19 "b" "12" "-" 481 "post"
"766" 4 19 "b" "13" "-" 605 "post"
"767" 4 19 "b" "?" "1" 1725 NA
"800" 4 26 "a" "0" "-" 582 "predep"
"801" 4 26 "a" "1" "-" 698 "dep"
"802" 4 26 "a" "2" "-" 779 "precrit"
"803" 4 26 "a" "3" "-" 476 "precrit"
"804" 4 26 "a" "4" "-" 443 "crit"
"805" 4 26 "a" "5" "-" 460 "postcrit"
"806" 4 26 "a" "6" "-" 537 "post"
"807" 4 26 "a" "7" "-" 566 "post"
"808" 4 26 "a" "8" "-" 457 "post"
"809" 4 26 "a" "?" "1" 3461 NA
"830" 4 2 "a" "0" "-" 485 "predep"
"831" 4 2 "a" "1" "-" 714 "dep"
"832" 4 2 "a" "2" "-" 806 "precrit"
"833" 4 2 "a" "3" "-" 520 "precrit"
"834" 4 2 "a" "4" "-" 481 "crit"
"835" 4 2 "a" "5" "-" 442 "postcrit"
"836" 4 2 "a" "6" "-" 487 "post"
"837" 4 2 "a" "7" "-" 541 "post"
"838" 4 2 "a" "8" "-" 497 "post"
"839" 4 2 "a" "9" "-" 483 "post"
"840" 4 2 "a" "10" "-" 438 "post"
"841" 4 2 "a" "?" "1" 3377 NA
"857" 4 32 "c" "0" "-" 383 "predep"
"858" 4 32 "c" "1" "-" 763 "dep"
"859" 4 32 "c" "2" "-" 1051 "precrit"
"860" 4 32 "c" "3" "-" 444 "precrit"
"861" 4 32 "c" "4" "-" 520 "crit"
"862" 4 32 "c" "5" "-" 539 "postcrit"
"863" 4 32 "c" "6" "-" 564 "post"
"864" 4 32 "c" "7" "-" 746 "post"
"865" 4 32 "c" "8" "-" 573 "post"
"866" 4 32 "c" "?" "0" 3261 NA
"876" 4 23 "b" "0" "-" 895 "predep"
"877" 4 23 "b" "1" "-" 662 "dep"
"878" 4 23 "b" "2" "-" 467 "precrit"
"879" 4 23 "b" "3" "-" 496 "precrit"
"880" 4 23 "b" "4" "-" 489 "precrit"
"881" 4 23 "b" "5" "-" 391 "precrit"
"882" 4 23 "b" "6" "-" 457 "precrit"
"883" 4 23 "b" "7" "-" 382 "precrit"
"884" 4 23 "b" "8" "-" 462 "crit"
"885" 4 23 "b" "9" "-" 424 "postcrit"
"886" 4 23 "b" "10" "-" 415 "post"
"887" 4 23 "b" "11" "-" 713 "post"
"888" 4 23 "b" "12" "-" 539 "post"
"889" 4 23 "b" "13" "-" 482 "post"
"890" 4 23 "b" "14" "-" 730 "post"
"891" 4 23 "b" "15" "-" 458 "post"
"892" 4 23 "b" "16" "-" 502 "post"
"893" 4 23 "b" "17" "-" 430 "post"
"894" 4 23 "b" "18" "-" 510 "post"
"895" 4 23 "b" "?" "0" 7913 NA
"932" 4 21 "d" "0" "-" 879 "predep"
"933" 4 21 "d" "1" "-" 1235 "dep"
"934" 4 21 "d" "2" "-" 548 "precrit"
"935" 4 21 "d" "3" "-" 835 "precrit"
"936" 4 21 "d" "4" "-" 515 "precrit"
"937" 4 21 "d" "5" "-" 451 "precrit"
"938" 4 21 "d" "6" "-" 470 "precrit"
"939" 4 21 "d" "7" "-" 481 "precrit"
"940" 4 21 "d" "8" "-" 442 "crit"
"941" 4 21 "d" "9" "-" 433 "postcrit"
"942" 4 21 "d" "10" "-" 434 "post"
"943" 4 21 "d" "11" "-" 400 "post"
"944" 4 21 "d" "12" "-" 484 "post"
"945" 4 21 "d" "?" "1" 3480 NA
"979" 4 8 "c" "0" "-" 462 "predep"
"980" 4 8 "c" "1" "-" 528 "dep"
"981" 4 8 "c" "2" "-" 657 "precrit"
"982" 4 8 "c" "3" "-" 1324 "precrit"
"983" 4 8 "c" "4" "-" 1084 "crit"
"984" 4 8 "c" "5" "-" 415 "postcrit"
"985" 4 8 "c" "6" "-" 527 "post"
"986" 4 8 "c" "7" "-" 682 "post"
"987" 4 8 "c" "8" "-" 535 "post"
"988" 4 8 "c" "9" "-" 504 "post"
"989" 4 8 "c" "?" "1" 4148 NA
"1019" 4 28 "c" "0" "-" 460 "predep"
"1020" 4 28 "c" "1" "-" 1121 "dep"
"1021" 4 28 "c" "2" "-" 650 "precrit"
"1022" 4 28 "c" "3" "-" 833 "precrit"
"1023" 4 28 "c" "4" "-" 941 "crit"
"1024" 4 28 "c" "5" "-" 678 "postcrit"
"1025" 4 28 "c" "6" "-" 863 "post"
"1026" 4 28 "c" "7" "-" 883 "post"
"1027" 4 28 "c" "8" "-" 1276 "post"
"1028" 4 28 "c" "9" "-" 775 "post"
"1029" 4 28 "c" "?" "1" 2370 NA
"1058" 4 35 "b" "0" "-" 958 "predep"
"1059" 4 35 "b" "1" "-" 659 "dep"
"1060" 4 35 "b" "2" "-" 485 "precrit"
"1061" 4 35 "b" "3" "-" 637 "precrit"
"1062" 4 35 "b" "4" "-" 611 "precrit"
"1063" 4 35 "b" "5" "-" 459 "precrit"
"1064" 4 35 "b" "6" "-" 498 "precrit"
"1065" 4 35 "b" "7" "-" 462 "precrit"
"1066" 4 35 "b" "8" "-" 471 "crit"
"1067" 4 35 "b" "9" "-" 434 "postcrit"
"1068" 4 35 "b" "10" "-" 453 "post"
"1069" 4 35 "b" "11" "-" 673 "post"
"1070" 4 35 "b" "12" "-" 499 "post"
"1071" 4 35 "b" "13" "-" 419 "post"
"1072" 4 35 "b" "14" "-" 447 "post"
"1073" 4 35 "b" "15" "-" 459 "post"
"1074" 4 35 "b" "16" "-" 851 "post"
"1075" 4 35 "b" "?" "1" 3095 NA
"1114" 4 29 "d" "0" "-" 533 "predep"
"1115" 4 29 "d" "1" "-" 544 "dep"
"1116" 4 29 "d" "2" "-" 498 "precrit"
"1117" 4 29 "d" "3" "-" 664 "precrit"
"1118" 4 29 "d" "4" "-" 564 "precrit"
"1119" 4 29 "d" "5" "-" 482 "precrit"
"1120" 4 29 "d" "6" "-" 479 "precrit"
"1121" 4 29 "d" "7" "-" 514 "precrit"
"1122" 4 29 "d" "8" "-" 486 "crit"
"1123" 4 29 "d" "9" "-" 421 "postcrit"
"1124" 4 29 "d" "10" "-" 467 "post"
"1125" 4 29 "d" "11" "-" 442 "post"
"1126" 4 29 "d" "12" "-" 389 "post"
"1127" 4 29 "d" "13" "-" 400 "post"
"1128" 4 29 "d" "?" "1" 2977 NA
"1151" 4 11 "b" "0" "-" 562 "predep"
"1152" 4 11 "b" "1" "-" 756 "dep"
"1153" 4 11 "b" "2" "-" 456 "precrit"
"1154" 4 11 "b" "3" "-" 634 "precrit"
"1155" 4 11 "b" "4" "-" 585 "precrit"
"1156" 4 11 "b" "5" "-" 531 "precrit"
"1157" 4 11 "b" "6" "-" 412 "precrit"
"1158" 4 11 "b" "7" "-" 551 "precrit"
"1159" 4 11 "b" "8" "-" 401 "crit"
"1160" 4 11 "b" "9" "-" 383 "postcrit"
"1161" 4 11 "b" "10" "-" 385 "post"
"1162" 4 11 "b" "11" "-" 507 "post"
"1163" 4 11 "b" "12" "-" 395 "post"
"1164" 4 11 "b" "13" "-" 447 "post"
"1165" 4 11 "b" "?" "1" 3007 NA
"1176" 4 24 "c" "0" "-" 377 "predep"
"1177" 4 24 "c" "1" "-" 515 "dep"
"1178" 4 24 "c" "2" "-" 482 "precrit"
"1179" 4 24 "c" "3" "-" 498 "precrit"
"1180" 4 24 "c" "4" "-" 460 "crit"
"1181" 4 24 "c" "5" "-" 445 "postcrit"
"1182" 4 24 "c" "6" "-" 451 "post"
"1183" 4 24 "c" "7" "-" 539 "post"
"1184" 4 24 "c" "8" "-" 388 "post"
"1185" 4 24 "c" "?" "1" 1730 NA
"1215" 4 18 "a" "0" "-" 466 "predep"
"1216" 4 18 "a" "1" "-" 731 "dep"
"1217" 4 18 "a" "2" "-" 458 "precrit"
"1218" 4 18 "a" "3" "-" 529 "precrit"
"1219" 4 18 "a" "4" "-" 411 "crit"
"1220" 4 18 "a" "5" "-" 426 "postcrit"
"1221" 4 18 "a" "6" "-" 479 "post"
"1222" 4 18 "a" "7" "-" 863 "post"
"1223" 4 18 "a" "8" "-" 558 "post"
"1224" 4 18 "a" "9" "-" 1006 "post"
"1225" 4 18 "a" "?" "1" 2052 NA
"1256" 4 25 "d" "0" "-" 307 "predep"
"1257" 4 25 "d" "1" "-" 565 "dep"
"1258" 4 25 "d" "2" "-" 501 "precrit"
"1259" 4 25 "d" "3" "-" 481 "precrit"
"1260" 4 25 "d" "4" "-" 434 "precrit"
"1261" 4 25 "d" "5" "-" 472 "precrit"
"1262" 4 25 "d" "6" "-" 423 "precrit"
"1263" 4 25 "d" "7" "-" 410 "precrit"
"1264" 4 25 "d" "8" "-" 398 "crit"
"1265" 4 25 "d" "9" "-" 395 "postcrit"
"1266" 4 25 "d" "10" "-" 443 "post"
"1267" 4 25 "d" "11" "-" 457 "post"
"1268" 4 25 "d" "12" "-" 430 "post"
"1269" 4 25 "d" "13" "-" 407 "post"
"1270" 4 25 "d" "14" "-" 383 "post"
"1271" 4 25 "d" "?" "1" 3957 NA
"1283" 4 4 "c" "0" "-" 483 "predep"
"1284" 4 4 "c" "1" "-" 522 "dep"
"1285" 4 4 "c" "2" "-" 538 "precrit"
"1286" 4 4 "c" "3" "-" 499 "precrit"
"1287" 4 4 "c" "4" "-" 416 "crit"
"1288" 4 4 "c" "5" "-" 413 "postcrit"
"1289" 4 4 "c" "6" "-" 404 "post"
"1290" 4 4 "c" "7" "-" 458 "post"
"1291" 4 4 "c" "?" "1" 3179 NA
"1326" 4 30 "a" "0" "-" 343 "predep"
"1327" 4 30 "a" "1" "-" 476 "dep"
"1328" 4 30 "a" "2" "-" 690 "precrit"
"1329" 4 30 "a" "3" "-" 529 "precrit"
"1330" 4 30 "a" "4" "-" 412 "crit"
"1331" 4 30 "a" "5" "-" 393 "postcrit"
"1332" 4 30 "a" "6" "-" 905 "post"
"1333" 4 30 "a" "7" "-" 482 "post"
"1334" 4 30 "a" "8" "-" 449 "post"
"1335" 4 30 "a" "9" "-" 431 "post"
"1336" 4 30 "a" "10" "-" 405 "post"
"1337" 4 30 "a" "11" "-" 447 "post"
"1338" 4 30 "a" "12" "-" 1174 "post"
"1339" 4 30 "a" "?" "1" 3208 NA
"1350" 4 1 "d" "0" "-" 400 "predep"
"1351" 4 1 "d" "1" "-" 2014 "dep"
"1352" 4 1 "d" "2" "-" 426 "precrit"
"1353" 4 1 "d" "3" "-" 828 "precrit"
"1354" 4 1 "d" "4" "-" 1121 "precrit"
"1355" 4 1 "d" "5" "-" 835 "precrit"
"1356" 4 1 "d" "6" "-" 468 "precrit"
"1357" 4 1 "d" "7" "-" 451 "precrit"
"1358" 4 1 "d" "8" "-" 456 "crit"
"1359" 4 1 "d" "9" "-" 412 "postcrit"
"1360" 4 1 "d" "10" "-" 421 "post"
"1361" 4 1 "d" "11" "-" 459 "post"
"1362" 4 1 "d" "12" "-" 397 "post"
"1363" 4 1 "d" "?" "1" 2089 NA
"1410" 4 33 "d" "0" "-" 513 "predep"
"1411" 4 33 "d" "1" "-" 588 "dep"
"1412" 4 33 "d" "2" "-" 412 "precrit"
"1413" 4 33 "d" "3" "-" 482 "precrit"
"1414" 4 33 "d" "4" "-" 472 "precrit"
"1415" 4 33 "d" "5" "-" 409 "precrit"
"1416" 4 33 "d" "6" "-" 433 "precrit"
"1417" 4 33 "d" "7" "-" 713 "precrit"
"1418" 4 33 "d" "8" "-" 590 "crit"
"1419" 4 33 "d" "9" "-" 465 "postcrit"
"1420" 4 33 "d" "10" "-" 747 "post"
"1421" 4 33 "d" "11" "-" 462 "post"
"1422" 4 33 "d" "12" "-" 948 "post"
"1423" 4 33 "d" "13" "-" 415 "post"
"1424" 4 33 "d" "?" "1" 3846 NA
"1447" 4 20 "c" "0" "-" 406 "predep"
"1448" 4 20 "c" "1" "-" 786 "dep"
"1449" 4 20 "c" "2" "-" 631 "precrit"
"1450" 4 20 "c" "3" "-" 534 "precrit"
"1451" 4 20 "c" "4" "-" 396 "crit"
"1452" 4 20 "c" "5" "-" 485 "postcrit"
"1453" 4 20 "c" "6" "-" 578 "post"
"1454" 4 20 "c" "7" "-" 467 "post"
"1455" 4 20 "c" "8" "-" 438 "post"
"1456" 4 20 "c" "9" "-" 433 "post"
"1457" 4 20 "c" "?" "1" 2822 NA
"1470" 4 15 "b" "0" "-" 509 "predep"
"1471" 4 15 "b" "1" "-" 588 "dep"
"1472" 4 15 "b" "2" "-" 810 "precrit"
"1473" 4 15 "b" "3" "-" 424 "precrit"
"1474" 4 15 "b" "4" "-" 431 "precrit"
"1475" 4 15 "b" "5" "-" 450 "precrit"
"1476" 4 15 "b" "6" "-" 361 "precrit"
"1477" 4 15 "b" "7" "-" 360 "precrit"
"1478" 4 15 "b" "8" "-" 359 "crit"
"1479" 4 15 "b" "9" "-" 369 "postcrit"
"1480" 4 15 "b" "10" "-" 406 "post"
"1481" 4 15 "b" "11" "-" 346 "post"
"1482" 4 15 "b" "12" "-" 329 "post"
"1483" 4 15 "b" "13" "-" 380 "post"
"1484" 4 15 "b" "14" "-" 313 "post"
"1485" 4 15 "b" "15" "-" 359 "post"
"1486" 4 15 "b" "16" "-" 401 "post"
"1487" 4 15 "b" "?" "1" 2906 NA
"1510" 4 27 "b" "0" "-" 886 "predep"
"1511" 4 27 "b" "1" "-" 827 "dep"
"1512" 4 27 "b" "2" "-" 440 "precrit"
"1513" 4 27 "b" "3" "-" 542 "precrit"
"1514" 4 27 "b" "4" "-" 645 "precrit"
"1515" 4 27 "b" "5" "-" 354 "precrit"
"1516" 4 27 "b" "6" "-" 347 "precrit"
"1517" 4 27 "b" "7" "-" 334 "precrit"
"1518" 4 27 "b" "8" "-" 322 "crit"
"1519" 4 27 "b" "9" "-" 352 "postcrit"
"1520" 4 27 "b" "10" "-" 312 "post"
"1521" 4 27 "b" "11" "-" 315 "post"
"1522" 4 27 "b" "12" "-" 435 "post"
"1523" 4 27 "b" "13" "-" 300 "post"
"1524" 4 27 "b" "?" "1" 3322 NA
"1656" 5 3 "c" "0" "-" 567 "predep"
"1657" 5 3 "c" "1" "-" 713 "dep"
"1658" 5 3 "c" "2" "-" 739 "precrit"
"1659" 5 3 "c" "3" "-" 578 "precrit"
"1660" 5 3 "c" "4" "-" 658 "crit"
"1661" 5 3 "c" "5" "-" 595 "postcrit"
"1662" 5 3 "c" "6" "-" 826 "post"
"1663" 5 3 "c" "7" "-" 717 "post"
"1664" 5 3 "c" "8" "-" 830 "post"
"1665" 5 3 "c" "9" "-" 714 "post"
"1666" 5 3 "c" "?" "1" 2461 NA
"1700" 5 29 "a" "0" "-" 527 "predep"
"1701" 5 29 "a" "1" "-" 1079 "dep"
"1702" 5 29 "a" "2" "-" 832 "precrit"
"1703" 5 29 "a" "3" "-" 1436 "precrit"
"1704" 5 29 "a" "4" "-" 1101 "crit"
"1705" 5 29 "a" "5" "-" 843 "postcrit"
"1706" 5 29 "a" "6" "-" 1547 "post"
"1707" 5 29 "a" "7" "-" 1305 "post"
"1708" 5 29 "a" "8" "-" 1074 "post"
"1709" 5 29 "a" "?" "1" 1942 NA
"1742" 5 31 "c" "0" "-" 694 "predep"
"1743" 5 31 "c" "1" "-" 800 "dep"
"1744" 5 31 "c" "2" "-" 835 "precrit"
"1745" 5 31 "c" "3" "-" 863 "precrit"
"1746" 5 31 "c" "4" "-" 3409 "crit"
"1747" 5 31 "c" "5" "-" 733 "postcrit"
"1748" 5 31 "c" "6" "-" 796 "post"
"1749" 5 31 "c" "7" "-" 1244 "post"
"1750" 5 31 "c" "?" "1" 5082 NA
"1792" 5 11 "c" "0" "-" 1619 "predep"
"1793" 5 11 "c" "1" "-" 1564 "dep"
"1794" 5 11 "c" "2" "-" 1078 "precrit"
"1795" 5 11 "c" "3" "-" 833 "precrit"
"1796" 5 11 "c" "4" "-" 1169 "crit"
"1797" 5 11 "c" "5" "-" 774 "postcrit"
"1798" 5 11 "c" "6" "-" 750 "post"
"1799" 5 11 "c" "7" "-" 985 "post"
"1800" 5 11 "c" "8" "-" 634 "post"
"1801" 5 11 "c" "9" "-" 985 "post"
"1802" 5 11 "c" "?" "1" 3857 NA
"1820" 5 16 "d" "0" "-" 635 "predep"
"1821" 5 16 "d" "1" "-" 1054 "dep"
"1822" 5 16 "d" "2" "-" 1182 "precrit"
"1823" 5 16 "d" "3" "-" 1188 "precrit"
"1824" 5 16 "d" "4" "-" 691 "precrit"
"1825" 5 16 "d" "5" "-" 712 "precrit"
"1826" 5 16 "d" "6" "-" 635 "precrit"
"1827" 5 16 "d" "7" "-" 677 "precrit"
"1828" 5 16 "d" "8" "-" 813 "crit"
"1829" 5 16 "d" "9" "-" 701 "postcrit"
"1830" 5 16 "d" "10" "-" 2514 "post"
"1831" 5 16 "d" "11" "-" 1505 "post"
"1832" 5 16 "d" "12" "-" 838 "post"
"1833" 5 16 "d" "13" "-" 1346 "post"
"1834" 5 16 "d" "?" "0" 2699 NA
"1889" 5 26 "b" "0" "-" 685 "predep"
"1890" 5 26 "b" "1" "-" 882 "dep"
"1891" 5 26 "b" "2" "-" 876 "precrit"
"1892" 5 26 "b" "3" "-" 1051 "precrit"
