"word_position"	"item"	"word"	"type_freq"
2	46	"Diplomat"	4.51264360579
3	46	"überarbeitet"	1.32436279735
4	46	"den"	9841.63424996
5	46	"Vorschlag"	56.2772438084
6	46	"hat"	2369.4648962
7	46	"der"	26530.3631386
8	46	"verärgerte"	0.261602527872
9	46	"Minister"	116.576626483
10	46	"angekündigt"	11.6086121743
11	46	"nachdem"	104.837213045
12	46	"die"	24520.1275636
13	46	"Verhandlungen"	113.494621701
14	46	"gescheitert"	9.46674147736
15	46	"waren"	795.320735204
1	47	"Der"	2185.87714719
2	47	"Kollege"	11.4696358314
3	47	"bearbeitet"	9.45039131937
4	47	"den"	9841.63424996
5	47	"Antrag"	63.4386130089
6	47	"hat"	2369.4648962
7	47	"der"	26530.3631386
8	47	"eifrige"	2.043769749
9	47	"Beamte"	24.9012906218
10	47	"versichert"	12.6386721278
11	47	"als"	4153.65136184
12	47	"der"	26530.3631386
13	47	"Rentner"	4.16929028796
14	47	"beim"	373.936288356
15	47	"Sozialamt"	0.604955845703
16	47	"vorsprach"	0.32700315984
1	48	"Der"	2185.87714719
2	48	"Finanzminister"	18.287651714
3	48	"ruiniert"	2.68960098968
4	48	"den"	9841.63424996
5	48	"Haushalt"	16.1784813331
6	48	"hat"	2369.4648962
7	48	"der"	26530.3631386
8	48	"junge"	96.4904573897
9	48	"Redakteur"	8.158728838
10	48	"geschätzt"	13.5542809754
11	48	"nachdem"	104.837213045
12	48	"er"	4943.65829569
13	48	"die"	24520.1275636
14	48	"Statistiken"	2.94302843856
15	48	"gesehen"	135.199456436
16	48	"hatte"	1622.81040626
1	49	"Der"	2185.87714719
2	49	"Feuerwehrmann"	0.711231872651
3	49	"rettet"	2.28084703988
4	49	"den"	9841.63424996
5	49	"Kater"	3.52345904727
6	49	"hat"	2369.4648962
7	49	"der"	26530.3631386
8	49	"kleine"	188.607247517
9	49	"Junge"	50.7018399331
10	49	"geglaubt"	18.32035203
11	49	"als"	4153.65136184
12	49	"er"	4943.65829569
13	49	"die"	24520.1275636
14	49	"Notrufzentrale"	NA
15	49	"anrief"	1.23443692839
1	50	"Der"	2185.87714719
2	50	"Mitarbeiter"	31.1961014487
3	50	"erledigt"	19.8163914863
4	50	"den"	9841.63424996
5	50	"Auftrag"	40.4175905562
6	50	"hat"	2369.4648962
7	50	"der"	26530.3631386
8	50	"neue"	350.097758003
9	50	"Chef"	59.122171299
10	50	"gehofft"	5.1094243725
11	50	"als"	4153.65136184
12	50	"er"	4943.65829569
13	50	"die"	24520.1275636
14	50	"Abteilung"	31.0407749478
15	50	"übernahm"	20.6338993859
1	51	"Der"	2185.87714719
2	51	"Sportler"	2.80405209563
3	51	"ist"	6201.98280491
4	51	"zum"	1651.97908812
5	51	"Gipfel"	12.0827667561
6	51	"aufgestiegen"	2.00289435402
7	51	"weil"	555.447567304
8	51	"das"	7683.24989344
9	51	"Wetter"	25.9395256543
10	51	"gut"	350.719064007
11	51	"war"	3092.73866021
1	52	"Der"	2185.87714719
2	52	"Vortrupp"	0.4087539498
3	52	"ist"	6201.98280491
4	52	"auf"	5591.37797963
5	52	"das"	7683.24989344
6	52	"Ziel"	126.190519382
7	52	"vorgerückt"	1.0300599535
8	52	"weil"	555.447567304
9	52	"der"	26530.3631386
10	52	"Feind"	52.3695560483
11	52	"geschwächt"	4.2919164729
12	52	"war"	3092.73866021
1	53	"Nachdem"	49.8271064806
2	53	"der"	26530.3631386
3	53	"Sportler"	2.80405209563
4	53	"erst"	440.448731067
5	53	"gestern"	90.6452759076
6	53	"wieder"	1064.2317837
7	53	"einen"	2019.39166343
8	53	"wichtigen"	37.0576330888
9	53	"Wettkampf"	2.2399716449
10	53	"des"	7101.07799289
11	53	"Leichtathletikverbands"	0.00817507899599
12	53	"gewonnen"	43.8756489715
13	53	"hatte"	1622.81040626
14	53	"stand"	234.265063709
15	53	"seiner"	936.635150729
16	53	"Teilnahme"	32.1771109282
17	53	"an"	3884.37243479
18	53	"den"	9841.63424996
19	53	"olympischen"	1.65954103619
20	53	"Spielen"	8.81273515768
21	53	"nichts"	627.690740391
22	53	"mehr"	1245.84116359
23	53	"im"	4320.93800333
24	53	"Wege"	113.363820437
1	54	"Obwohl"	31.3269027126
2	54	"der"	26530.3631386
3	54	"Tierschützer"	0.106276026948
4	54	"sich"	6557.46793998
5	54	"schon"	1088.25016579
6	54	"seit"	401.7479071
7	54	"Jahren"	348.315590782
8	54	"streng"	34.0328538603
9	54	"vegetarisch"	0.36787855482
10	54	"ernährte"	0.629481082691
11	54	"konnte"	454.861395337
12	54	"er"	4943.65829569
13	54	"seinen"	631.36952594
14	54	"alten"	231.109483217
15	54	"Pudel"	1.37341327133
16	54	"nicht"	6717.74853877
17	54	"davon"	234.698342896
18	54	"überzeugen"	17.8053220533
19	54	"ebenfalls"	111.63070369
20	54	"auf"	5591.37797963
21	54	"fleischlose"	0.138976342932
22	54	"Kost"	7.06326825254
23	54	"umzustellen"	0.948309163535
24	54	"was"	1190.99455861
