subject	item	cloze	segment	lab	base100	base200	base500	filt01	prestim
birm03	111	9	5	birm	20.63	15.2338	6.8091	19.74	17.181
birm03	101	82	6	birm	-9.08	-10.3205	-12.8685	-7.21	4.7145
birm03	110	25	7	birm	6.69	10.4107	5.6875	7.67	1.2439
birm03	109	75	8	birm	6.61	12.9682	8.4438	6.99	-2.3424
birm03	105	89	9	birm	9.20	6.6478	0.3064	7.65	11.0359
birm03	120	9	10	birm	-4.16	-5.2597	-12.1231	-2.88	9.8647
birm03	106	93	11	birm	-12.19	-8.9405	-13.1212	-14.18	1.1717
birm03	115	27	12	birm	6.25	4.3057	6.1103	3.47	0.1668
birm03	104	0	13	birm	-13.37	-12.8650	-14.8381	-12.31	1.8232
birm03	114	73	14	birm	7.26	4.9884	6.4153	7.20	1.08
birm03	102	98	15	birm	-19.82	-22.7725	-24.3684	-16.82	5.735
birm03	119	2	16	birm	-4.20	-5.5765	-6.7756	-2.10	3.2571
birm03	113	61	17	birm	13.87	7.1683	3.5557	14.81	12.8576
birm03	118	95	18	birm	-7.66	-15.9280	-15.3366	-6.12	9.6386
birm03	108	0	19	birm	10.35	10.9643	13.2649	11.13	-3.5424
birm03	121	60	20	birm	11.76	6.8663	0.5932	9.99	13.8405
birm03	137	82	21	birm	19.23	23.0749	21.4239	21.30	-2.7575
birm03	122	52	22	birm	4.13	2.2425	0.5966	1.28	4.4215
birm03	130	77	23	birm	-0.96	-0.6650	-2.6371	-0.34	2.0484
birm03	133	73	24	birm	-9.32	-4.2545	0.1347	-10.04	-11.8001
birm03	135	5	25	birm	15.65	9.7072	-0.2982	13.07	19.7724
birm03	149	20	26	birm	-5.76	-5.2514	-0.9194	-3.49	-5.9882
birm03	155	25	27	birm	-12.56	-12.7089	-12.1483	-9.03	-0.4545
birm03	141	91	28	birm	4.64	1.5184	3.8389	5.72	1.0658
birm03	158	66	29	birm	5.00	5.4940	2.6724	5.75	2.8458
birm03	146	82	30	birm	-0.97	-7.3884	-9.2948	-0.55	10.3473
birm03	152	5	31	birm	7.20	4.8979	1.5405	9.23	7.0982
birm03	144	0	32	birm	-15.10	-15.3048	-11.2278	-8.51	-4.7769
birm03	145	73	33	birm	-3.47	-8.4702	-12.4201	-0.25	11.079
birm03	151	25	34	birm	7.94	11.6494	10.2456	8.42	-2.8748
birm03	147	7	35	birm	-1.85	-0.1926	-4.3428	1.85	3.0784
birm03	148	0	36	birm	-0.37	5.8383	3.1956	2.91	-4.4229
birm03	156	0	37	birm	15.62	13.5834	20.1442	10.63	-5.6016
birm03	160	0	38	birm	-14.31	-10.2139	-12.3514	-14.01	-2.4751
birm03	157	34	39	birm	4.74	0.7562	-4.5037	5.81	11.518
birm03	143	2	40	birm	9.20	10.1336	8.3243	11.02	1.1122
birm03	142	91	41	birm	-4.44	1.6636	-0.7754	-2.20	-4.5352
birm03	154	93	42	birm	16.27	11.1194	5.1111	17.55	13.8721
birm03	159	16	43	birm	10.43	7.3365	4.2730	13.90	7.6043
birm03	150	27	44	birm	-11.03	-9.1208	-1.5574	-13.04	-11.7464
birm03	177	70	45	birm	4.92	8.2535	10.5348	4.00	-6.9682
birm03	168	18	46	birm	3.42	3.7157	5.2591	4.40	-2.3212
birm03	162	98	47	birm	6.62	6.4688	5.9464	6.35	0.8513
birm03	172	0	48	birm	2.45	3.9824	-1.7261	0.77	5.1588
birm03	180	5	49	birm	-2.87	-6.2115	-0.3594	-0.57	-3.1219
birm03	173	77	50	birm	-10.14	-11.5072	-18.5536	-5.27	10.4456
birm03	179	0	51	birm	0.66	-1.9923	-10.9091	2.56	14.3601
birm03	169	73	52	birm	7.87	6.3000	3.3778	7.93	5.6061
birm03	171	0	53	birm	-14.01	-12.8989	-14.5555	-4.64	0.7009
birm03	165	73	54	birm	9.33	6.5247	2.0869	10.74	9.0116
birm03	167	14	55	birm	-3.25	-0.5228	2.8534	-1.66	-7.5687
birm03	175	30	56	birm	1.82	3.6042	1.2718	2.43	0.6819
birm03	170	68	57	birm	-5.49	-3.7159	-8.2973	-6.18	3.4921
birm03	163	25	58	birm	-5.35	-6.3170	-6.2542	-2.84	1.1426
birm03	174	80	59	birm	6.84	9.8171	2.9395	5.33	4.8253
birm03	178	75	60	birm	-6.93	-4.4802	-2.3935	-13.71	-5.6897
birm03	166	100	61	birm	10.36	7.6214	1.3911	7.07	11.0633
birm03	164	11	62	birm	5.45	7.5679	9.5487	5.03	-5.1127
birm03	161	70	63	birm	-6.17	-2.9755	-1.7547	-5.18	-5.5283
birm04	105	89	1	birm	2.03	1.5567	1.3243	3.46	0.8141
birm04	112	2	2	birm	3.51	5.1592	8.1443	1.10	-5.725
birm04	115	27	3	birm	7.47	6.0636	-2.1269	11.50	11.9699
birm04	101	82	4	birm	7.98	7.8523	3.7772	5.58	5.2562
birm04	118	95	5	birm	-13.82	-9.2835	-13.9284	-13.38	0.0926
birm04	102	98	6	birm	14.48	18.9268	20.5521	8.77	-7.5926
birm04	113	61	7	birm	18.10	17.1670	22.7576	15.22	-5.7424
birm04	114	73	8	birm	11.95	14.3738	12.5921	7.98	-0.7868
birm04	120	9	9	birm	8.29	10.4374	5.5973	10.56	3.3158
birm04	116	2	10	birm	-8.44	-13.4644	-17.6367	-9.76	11.3858
birm04	111	9	11	birm	-4.86	-0.8962	-2.1187	-3.84	-3.4497
birm04	110	25	12	birm	22.53	16.5250	11.5745	21.92	13.6641
birm04	108	0	13	birm	7.31	11.1201	10.0874	5.84	-3.5204
birm04	117	70	14	birm	4.50	8.7263	8.0845	-1.11	-4.4497
birm04	109	75	15	birm	11.45	17.9134	19.8356	10.51	-10.4341
birm04	104	0	16	birm	4.33	5.5422	7.7581	5.95	-4.2142
birm04	119	2	17	birm	-9.17	-7.0244	-8.0209	-7.11	-1.4683
birm04	106	93	18	birm	13.67	9.1670	6.6658	16.43	8.7541
birm04	107	18	19	birm	19.04	14.7031	5.7934	14.69	16.4642
